	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
DED_Nov.7.09	0	0	0.01631	0	0	0	0.04127	0.17412	0.11376	0.08606	0	0	0	0.12291	0	0	0.07984	0.36573
MA.S.A_Nov.9.09	0	0	0.03342	0	0	0	0.0097	0.21614	0.0651	0.04974	0.01502	0	0	0.06644	0.08323	0	0.10323	0.358
STS_Nov.14.09	0.00248	0	0	0.00122	0	0	0.04479	0.17616	0.06386	0	0.07025	0	0	0.025	0.03233	0	0.17464	0.40926
P6_Nov.15.09	0	0	0.01091	0.00504	0	0	0.02776	0.37371	0	0.09557	0	0	0	0.08961	0.06711	0	0.06701	0.26327
HLF.5.3	0	0	0	0.00608	0	0	0.0419	0.16078	0.05419	0.09518	0	0	0	0.06324	0.01723	0	0.11036	0.45105
HLF.6.1	0	0	0.0215	0	0	0	0.02265	0.27169	0.04248	0.07296	0	0	0	0.05901	0	0	0.10864	0.40106
HLF.6.3	9e-04	0	0	0.00435	0	0	0.0381	0.26581	0.03134	0.05563	0	0	0	0.05892	0.01306	0	0.12207	0.40982
HLF.7.1	0	0	0.01507	0.00103	0	0	0.04237	0.24706	0.03307	0.04625	0	0	0	0.07852	0.08779	0	0.12226	0.32658
HLF.7.3	0.00109	0	0.00311	0.00622	0	0	0.04288	0.24308	0.08845	0.02605	0	0.00112	0	0.08729	0.09973	0	0.10261	0.29837
HLF.11.1	0	0	0.00456	0	0	0	0.02758	0.16334	0.00072	0.11008	0	0	0	0.08779	0.08293	0	0.09804	0.42497
P9_Nov22	0	0	0.00952	0	0	0	0	0.11633	0.11888	0.12546	0	0	0	0.05287	0.13238	0	0.09632	0.34825
HURH.7D3	0.00038	0	0.00806	0	0	0	0.05619	0.14855	0.07948	0.07278	0	0	0	0.06943	0.02584	0	0.11117	0.42812
HURH.7D7	0	0	0.00938	0	0	0	0.04667	0.12018	0.0955	0.08457	0	0	0	0.07899	0.01904	0	0.13124	0.41444
HURH.6D7	0.00203	0	0.00709	0.00723	0	0	0.01299	0.19849	0.02546	0.02789	0	0	0	0.15927	0.11635	0.00976	0.10821	0.32524
HURH.4D7	0	0	0.00369	0	0	0	0.06992	0.15685	0.06765	0.04844	0.00344	0	0	0.05249	0.13075	0	0.12911	0.33765
P9_Nov24	0	0	0.01436	0.00062	0	0	0.02308	0.1988	0.06835	0.0715	0	0	0	0.10291	0.228	0.00399	0.07805	0.21034
