	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
STS_Nov.14.09	0.04029	0	0	0	0	0	0	0	0.05162	0.00289	0.13515	0	0.32797	0.04658	0	0	0	0.01221	0.0135	0	0	0.36979
P6_Nov.15.09	0.00786	0	0.08721	0	0	0	0	0	0.0177	0	0.05421	0	0.43157	0.14515	0	0	0	0	0.0641	0	0	0.19221
HLF.5.3	0.05276	0	0	0	0.01618	0	0	0	7.00E-05	0	0.096	0	0.22903	0.17628	0	0	0	0	0.0376	0	0	0.39207
HLF.6.1	0.07388	0	0.0281	0	0	0	0	0	0.01945	0	0.0638	0	0.35813	0.08863	0	0	0	0.00106	0.00266	0	0	0.3643
HLF.6.3	0.0746	0.00766	0	0.00855	0	0	0	0	0.03259	0	0.07295	0	0.31483	0.09531	0	0	0	0	0	0	0	0.39351
HLF.7.1	0.05615	0	0.04823	0.01435	0.02872	0	0	0	0.02693	0	0.12276	0	0.2937	0.05658	0	0	0	0	0.03105	0	0	0.32153
HLF.7.3	0.05546	0.00884	0	0.04964	0.00627	0	0	0	0.03549	0	0.0968	0	0.38353	0.0181	0	0	0	0	0.02647	0	0	0.31939
HLF.11.1	0.05319	0	0	0.0484	0	0	0	0	0.06678	0	0.07959	0	0.15155	0.1882	0.00186	0	0	0	0.00615	0	0	0.40428
P9_Nov22	0.02914	0	0.08304	0.04621	0	0	0	0	0.03019	0	0.11264	0	0.18941	0.20611	0	0	0	0	0.01735	0	0	0.28591
HURH.7D3	0.05247	0	0.03184	0	0.01809	0	0	0	0.00787	0.02818	0.09814	0	0.19737	0.06936	0	0	0	0	0.04444	0	0	0.45224
HURH.7D7	0.07371	0	0.01222	0	0.02167	0	0	0	0.00627	0.03512	0.10795	0	0.16887	0.10344	0	0	0	0	0.04133	0	0	0.42941
HURH.6D7	0.02887	0	0.00339	0.02853	0.03511	0	0	0	0.12496	0	0.12435	0	0.29417	0.01836	0	0	0	0	0.02499	0	0	0.31728
HURH.4D7	0.05829	0	0.01388	0.02662	0	0	0	0	0.03746	0.09754	0.11173	0	0.16831	0.06103	0	0	0	0	0.03603	0	0	0.38911
P9_Nov24	0.02086	0	0.13935	0.09205	0	0	0	0	0.06871	0	0.11311	0	0.26147	0.07619	0.00163	0	0	0	0.03402	0	0	0.19261
