	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
FCC_Nov.4.09	0.01221	0	0.24188	0.09397	0.03933	0	0	0	0.07217	0	0.09234	0	0.28478	0.0318	0	0	0	0.00958	0	0	0	0.12195
FCC_Nov.6.09	0.03238	0	0.09088	0.14047	0.06613	0	0	0	0.03984	0	0.08644	0	0.24906	0.03321	0	0	0	0.02128	0	0	0	0.24032
FCC_Nov.10.09	0.03094	0.03927	0	0.1578	0	0	0	0	0.1162	0	0.10101	0	0.3793	0.01397	0	0	0	0.00361	0.0073	0	0	0.15061
HUV_6d1	0.03855	0	0.12967	0	0.04724	0	0	0	0.02709	0	0.10945	0	0.2882	0.10547	0.00323	0	0	0.00076	0.00224	0	0	0.24809
HUV_6d3	0.07189	0	0.05402	0	0.0774	0	0	0	0.02876	0	0.1021	0	0.26203	0.09401	0	0	0	0	0.04345	0	0	0.26633
HUV_7d1	0.01643	0	0.10061	0.01736	0.00843	0	0	0	0.03463	0	0.10993	0	0.27623	0.06332	0	0	0	0.00938	0.0173	0	0	0.34638
P6_Nov.17.09	0.0115	0	0	0.01216	0	0	0	0	0.06638	0	0.06778	0	0.45381	0.06671	0	0	0	0	0.04471	0	0	0.27695
P12_Nov.24.09	0.02637	0	0	0.04481	0.00715	0	0	0	0.05209	0	0.09412	0	0.32366	0.02534	0	0	0	0.01843	0.0744	0	0	0.33364
P12_Nov.30.09	0.01961	0	0	0	0	0	0	0	0	0.01428	0.05903	0	0.27578	0.20424	0	0	0	0	0.04792	0	0	0.37913
P13_Nov.29.09	0.00309	0	0.08781	0.06765	0.00678	0	0	0	0.02182	0	0.17481	0	0.267	0.04787	0	0	0	0.00226	0.02401	0	0	0.29691
DED_Nov.3.09	0.03497	0	0.03116	0	0.00532	0	0	0	0	0.05025	0.06763	0	0.22939	0.06586	0.00163	0	0	0.0205	0.03307	0	0	0.46022
MA.S.A_Nov.14.09	0.06226	0	0.13132	0	0	0	0	0	0.02308	0	0.09118	0	0.42991	0.05739	0	0	0	0	0.03271	0	0	0.17214
P6_Nov.11.09	0.00057	0	0.1287	0	0	0	0	0	0.04065	0	0.07871	0	0.33656	0.13147	0	0	0	0	0.10282	0	0	0.18052
P7_Nov.18.09	0.0642	0	0	0	0	0	0	0	0.02425	0.05821	0.0486	0	0.14504	0.14895	0	0	0	0	0.01511	0	0	0.49564
P11_Nov.27.09	0.02886	0	0.01062	0.03377	0	0	0	0	0.02057	0	0.09039	0	0.36607	0.03723	0	0	0	0	0.11136	0	0.0047	0.29644
DED_Nov.4.09	0.01263	0	0.12977	0	0.01112	0	0	0	7.00E-05	0.03683	0.06739	0	0.35566	0.01706	6.00E-05	0	0	0.02053	0.03041	0	0	0.31847
P6_Nov.13.09	0.00836	0	0.13291	0	0	0	0	0	0.01185	0	0.06628	0	0.37799	0.20566	0	0	0	0	0.05111	0	0	0.14583
P11_Nov.29.09	0.01702	0	0	0.03074	0	0	0	0	0.0013	0	0.12245	0	0.41219	0.08341	0	0	0	0	0.08862	0	0	0.24428
P12_Nov.26.09	0.05263	0	0.0315	0.06717	0.00845	0	0	0	0.04115	0	0.11479	0	0.27427	0.06792	0.00265	0	0	0.008	0.00775	0	0	0.32372
P13_Nov.27.09	0.04006	0	0.00398	0	0.05234	0	0	0	0.01011	0	0.24042	0	0.16039	0.05423	0.00244	0	0	0.02274	0.00286	0	0	0.41043
DED_Nov.7.09	0.04296	0	0.06771	0	0.03134	0	0	0	0	0.02065	0.04483	0	0.36137	0.06402	0	0	0	0	0.03279	0	0	0.33433
MA.S.A_Nov.9.09	0.05124	0	0.09526	0	0	0	0	0	0.03109	0.01518	0.09306	0	0.30953	0.06869	0.00348	0	0	0.02887	0.02919	0	0	0.2744
