ds	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
4481649065_F	0.00444	0	0.02558	0	0	0	0	0	0	0.12053	0.04604	0	0.23585	0.06659	0.00865	0	0	0	0	0	0	0.49231
4481649065_G	0	0.00074	0.05881	0.04762	0	0	0	0	0	0	0.13801	0	0.25877	0.13909	0	0	0	0	0.03862	0	0	0.31835
4481649065_H	0.01289	0	0.00876	0.05781	0	0	0	0	0	0	0.13673	0	0.26436	0.1988	0	0	0	0	0.02588	0	0	0.29478
4481649065_I	0.01829	0	0	0.0114	0	0	0	0	0	0.04189	0.10482	0	0.21731	0.33836	0	0	0	0	0.01648	0	0	0.25145
4481649065_J	0	0	0	0	0	0	0	0	0	0.03832	0.0653	0	0.23546	0.18433	0	0	0	0	0.01265	0	0	0.46394
4481649092_A	0	0	0.00923	0	0	0	0	0	0	0.12014	0.04243	0	0.22685	0.154	0.00223	0	0	0	0	0	0	0.44512
4481649092_B	0	0	0.01931	0.05764	0	0	0	0	0	0.06078	0.05953	0	0.30322	0.09882	0.00146	0	0	0	0	0	0	0.39923
4481649092_C	0	0	0.01528	0	0	0	0	0	0	0.06762	0.08411	0	0.28355	0.15362	0	0	0	0	0.0191	0	0	0.37672
4674281008_A	0	0	0	0.04324	0	0	0	0	0	0.16873	0.06189	0	0.30437	0.11285	0.00253	0	0	0	0.01414	0	0.00044	0.29181
4674281008_D	0	0	0	0	0	0	0	0	0	0.15379	0.02604	0	0.21555	0.30948	0	0	0	0	0.00052	0	0	0.29463
4674281008_E	0	0	0	0	0.00392	0	0	0	0	0.05329	0.08303	0	0.31477	0.12244	0	0	0	0	0.02613	0	0	0.39642
4674281008_F	0	0	0	0.0318	0	0	0	0	0	0.21155	0.02622	0	0.29966	0.13002	0.00348	0	0	0	0.00818	0	0	0.2891
4674281008_K	0	0	0	0	0	0	0	0	0	0.03996	0.11947	0	0.35478	0.10318	0	0	0	0	0.04774	0	0	0.33487
4674281008_L	0	0	0	0.13681	0	0	0	0	0	0.05533	0.12704	0	0.32129	0.08723	0.00934	0	0	0	0.03766	0	0.01442	0.21088
4674281009_C	0.00065	0	0	0	0	0	0	0	0	0.14108	0.0361	0	0.20378	0.20578	0	0	0	0	0.00821	0	0	0.40439
4674281009_D	0	0	0	0	0	0	0	0	0	0.12843	0.00971	0	0.19529	0.22275	0	0	0	0	0.00193	0	0	0.4419
4674281009_E	0.01846	0	0	0	0.01599	0	0	0	0	0.13563	0.03108	0	0.26613	0.10385	0	0	0	0	0.0148	0	0	0.41405
4674281009_F	0	0	0	0	0	0	0	0	0	0.14853	0.01962	0	0.25163	0.21786	0	0	0	0	0.00797	0	0	0.35439
4674281009_G	0	0	0	0.05191	0	0	0	0	0	0.12571	0.07115	0	0.35341	0.15089	0	0	0	0	0.01007	0	0	0.23685
4674281009_I	0	0	0	0.0617	0	0	0	0	0	0.14174	0.08613	0	0.3776	0.09014	0.00278	0	0	0	0.01514	0	0	0.22477
4674281009_L	0.01228	0	0.06409	0	0.02398	0	0	0	0	0.07873	0.09321	0	0.28921	0.1291	0	0	0	0	0.03055	0	0	0.27886
4674281014_A	0	0	0	0	0	0	0	0	0	0.05469	0.06497	0	0.28581	0.21239	0	0	0	0	0.0137	0	0	0.36845
4674281014_B	0	0	0	0	0	0	0	0	0	0.05702	0.07413	0	0.29188	0.23856	0	0	0	0	0.01111	0	0	0.3273
4674281014_C	0	0	0.02435	0.04136	0.00981	0	0	0	0	0.03705	0.06092	0	0.37802	0.06906	0	0	0	0	0	0	0	0.37943
4674281014_D	0	0	0.01581	0.01055	0	0	0	0	0	0.09421	0.06862	0	0.36819	0.04451	0.00468	0	0	0.00229	0	0	0	0.39113
4674281014_E	0	0	0.0082	0.03126	0	0	0	0	0	0.0579	0.06781	0	0.38034	0.0632	0.0072	0	0	0.00243	0	0	0	0.38166
4674281014_F	0	0	0	0.00858	0	0	0	0	0	0.13703	0.05092	0	0.39148	0.03431	0.01001	0	0	0.0098	0.00124	0	0	0.35664
4674281014_G	0	0	0.00866	0	0	0	0	0	0	0.08576	0.06488	0	0.37177	0.06241	0.00705	0	0	0	0	0	0	0.39948
4674281014_H	0.00635	0.01127	0.03902	0.18004	0	0.00243	0	0	0	0	0.07565	0	0.29414	0.07028	0.00217	0	0	0	0.01129	0	0.01784	0.28953
4674281014_I	0.01398	0.00309	0.02496	0.16337	0.00497	0	0	0	0.01584	0	0.07341	0	0.33229	0.06221	0.0043	0	0	0	0.00934	0	0.02925	0.26301
4674281014_J	0.01617	0	0.01281	0.14422	0	0	0	0	0.02553	0	0.07877	0	0.32845	0.10679	0.00689	0	0	0	0.00539	0	0.01563	0.25935
4674281014_K	0.01717	0	0.00966	0.13511	0	0	0	0	0.03535	0.01024	0.0817	0	0.2976	0.10782	0.00174	0	0	0	0.00559	0	0	0.29802
4674281015_B	0.01516	0	0.02186	0.07266	0.01283	0	0	0	0	0.07782	0.0508	0	0.26632	0.06155	0.00246	0	0	0	0.00271	0	0	0.41582
4674281015_C	0	0	0	0.05404	0	0	0	0	0	0.08612	0.12453	0	0.26478	0.13148	0	0	0	0	0	0	0	0.33905
4674281015_D	0	0	0	0.009	0	0	0	0	0	0.13929	0.09234	0	0.27086	0.08861	0	0	0	0	0.00503	0	0	0.39487
4674281015_E	0	0	0	0	0	0	0	0	0	0.11423	0.05353	0	0.26906	0.09597	0	0	0	0	0.00343	0	0	0.46379
4717421005_K	0	0	0	0	0	0	0	0	0	0.0602	0.07661	0	0.37117	0.23561	0	0	0	0	0.02656	0	0.00834	0.22151
4717421005_L	0	0	0.00308	0	0	0	0	0	0	0.07874	0.03856	0	0.41916	0.14577	0	0	0	0	0.00116	0	0	0.31352
4717421050_F	0	0	0	0	0	0	0	0	0	0.0834	0.04398	0	0.1515	0.33375	0	0	0	0	0.01491	0	0	0.37246
4717421050_G	0.00893	0	0.00242	0.08919	0	0	0	0	0	0.06227	0.11166	0	0.33405	0.11387	0.02035	0	0	0	0.01283	0	0	0.24444
4717421050_H	0	0	0	0	0	0	0	0	0	0.03854	0.09711	0	0.37846	0.15807	0	0	0	0	0.02782	0	0	0.3
