	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
6235821090_J	0	0	0.01213	0.03834	0	0.0073	0.04615	0.23598	0	0	0	0	0	0.05244	0.15084	0	0.03927	0.41756
6235821090_K	0	0	0.01308	0.03552	0	0.00555	0.10556	0.14824	0	0	0	0	0.01418	0	0.13755	0	0.05748	0.48284
6235821090_L	0	0	0.0213	0.02744	0	0.00034	0.09332	0.20227	0	0	0	0	0	0	0.12638	0	0.05664	0.4723
6235821091_A	0	0	0.02217	0.04266	0	0	0.0901	0.21395	0	0	0	0	0	0.08099	0.19146	0	0.02493	0.33375
6235821091_B	0	0.00198	0.0258	0.03469	0	0	0.10105	0.15884	0	0	0	0	0	0.00197	0.13128	0	0.06192	0.48246
6235821091_F	0	0	0.03073	0.0355	0	0	0.11364	0.13111	0	0	0	0	0	0.00155	0.29971	0	0.0568	0.33097
6235821091_H	0	0	0.02526	0.03901	0	0	0.06848	0.21331	0	0	0	0	0	0.02706	0.23564	0	0.05105	0.3402
6235821091_I	0	0	0.0173	0.01966	0	0	0.05587	0.19538	0	0	0	0	0	0.00121	0.16801	0	0.05663	0.48593
6235821091_K	0	0	0.02169	0.02975	0	0.0069	0.04395	0.25936	0	0	0	0	0	0	0.19061	0	0.06616	0.38158
6235821091_L	0	0.00061	0.02415	0.02663	0	0.00242	0.04817	0.28592	0	0	0	0	0	0	0.1258	0	0.04774	0.43856
6247207043_A	0	0	0.01096	0.04311	0	0.00563	0.06083	0.12814	0	0	0	0	0	0.05883	0.1677	0	0.04133	0.48348
6247207043_B	0	0	0.01735	0.04406	0	0	0.08134	0.25157	0	0	0	0	0	0	0.13388	0	0.03602	0.43578
6247207043_D	0	0	0.01245	0.02296	0.00429	0.00678	0.06414	0.25121	0	0	0	0	0	0.03211	0.18336	0	0.06041	0.36231
6247207043_E	0	0	0.01973	0.02266	0	0	0.04083	0.26463	0	0	0	0	0	0	0.11648	0	0.06713	0.46855
6247207043_I	0	0	0.02612	0.02573	0	0	0.02491	0.27043	0	0	0	0	0	0	0.01744	0	0.11637	0.51901
6247207043_J	0	0	0.02101	0.03048	0	0	0.05148	0.28266	0	0	0	0	0	0	0	0	0.0987	0.51567
6247207043_K	0	0	0.01418	0.0237	0	0.00468	0.09359	0.30455	0	0	0	0	0	0	0.11173	0	0.03953	0.40803
6247207043_L	0	0	0.03409	0.02483	0	0	0.12015	0.26023	0	0	0	0	0	0.00024	0.15112	0	0.0515	0.35783
6247207062_B	0	0	0.01224	0.03666	0	0.00161	0.0558	0.19119	0	0	0	0	0	0	0.22886	0	0.13826	0.33538
6247207062_E	0	0	0.01767	0.05467	0	0	0.1223	0.16501	0	0	0	0	0	0	0.17159	0	0.04453	0.42422
6247207062_F	0	0	0.01249	0.04046	0	0	0.11725	0.14227	0	0	0	0	0	0	0.18498	0	0.0939	0.40865
6247207062_G	0	0	0.01724	0.04252	0	0	0.15328	0.14276	0	0	0	0	0	0.03681	0.17735	0	0.01663	0.4134
6247207062_H	0	0.00241	0.0169	0.01822	0	0	0.01952	0.17565	0	0	0	0	0	0.05554	0.08416	0	0.12319	0.50442
6247207062_I	0	0	0.03039	0.03649	0	0.00119	0.19782	0.05252	0	0	0	0	0	0	0.16273	0	0.03335	0.4855
6247207062_J	0	0	0.01461	0.02821	0	0.00751	0.08175	0.16636	0	0	0	0	0	0.00163	0.18061	0	0.04408	0.47525
6247207062_L	0	0	0.0218	0.0441	0	0	0.10559	0.15407	0	0	0	0	0	0	0.16929	0	0.01367	0.49147
6247207064_A	0	0	0.02484	0.03266	0	0	0.02352	0.29224	0	0	0	0	0	0	0.11785	0.02043	0.04589	0.44257
6247207064_B	0	0	0.02289	0.03293	0	0.00321	0.02624	0.25846	0	0	0	0	0	0.00171	0.07166	0	0.08492	0.49799
6247207064_C	0	0	0.01844	0.03499	0	0.00878	0.01418	0.25523	0	0	0	0	0	1.00E-05	0.07522	0	0.06349	0.52966
6247207064_D	0	0	0.01177	0.03941	0	0.01879	0.02633	0.23911	0	0	0	0	0	0.00155	0.21112	0	0.03091	0.42101
6247207064_F	0	0	0.01817	0.0462	0	0.00497	0.10432	0.18398	0	0	0	0	0	0	0.14959	0	0.05729	0.43546
6247207064_G	0	0	0.02765	0.04022	0	0.01217	0.00413	0.27	0	0.00637	0	0	0	0	0.20664	0	0.01873	0.4141
6247207064_J	0	0	0.01803	0.02093	0	0	0.11387	0.13676	0	0	0	0	0	0.05423	0.19061	0	0.05937	0.40619
6247207064_K	0	0	0.01979	0.01728	0	0.00318	0.13687	0.24871	0	0	0	0	0	0	0.09784	0	0.0782	0.39814
6247207066_A	0	0	0.00831	0.02716	0	0.00134	0.11375	0.22122	0	0	0	0	0	0	0.16388	0	0.06943	0.39491
6247207066_C	0	0	0.01339	0.01881	0	0.0068	0.06024	0.27332	0	0	0	0	0	0.01166	0.10755	0	0.09156	0.41667
6247207066_D	0	0	0.01199	0.02971	0	0.00402	0.08986	0.17127	0	0	0	0	0	0.04502	0.18051	0	0.03982	0.42781
6247207066_F	0	0	0.021	0.01577	0	0	0.14298	0.2244	0	0.00455	0	0	0	0	0.10217	0	0.07625	0.41287
6247207066_G	0	0	0.01531	0.03501	0	0	0.15488	0.15835	0	0	0	0	0	0	0.091	0	0.07727	0.46819
6247207066_H	0	0	0.02411	0.04939	0	0	0.07449	0.25016	0	0	0	0	0	0	0.01075	0	0.10399	0.4871
6247207066_I	0	0	0.01604	0.03601	0	0.00136	0.10034	0.14635	0	0	0	0	0	0.06518	0.12471	0	0.06595	0.44406
6247207066_J	0	0	0.02066	0.02642	0	0.0044	0.13875	0.19848	0	0	0	0	0	0.00043	0.11234	0	0.07784	0.42067
6247207066_K	0	0	0.01886	0.01876	0	0.01132	0.07764	0.18485	0	0	0	0	0	0.11814	0.09659	0	0.06505	0.40879
6247207066_L	0	0	0.0177	0.02968	0	0.00233	0.12846	0.18826	0	0	0	0	0	0.01481	0.16631	0	0.03924	0.41322
6247207100_B	0	0	0.0231	0.0383	0	3.00E-05	0.1151	0.17452	0	0	0	0	0	0	0.09084	0	0.05933	0.49877
6247207100_C	0	0	0.01707	0.02678	0	0	0.06157	0.27483	0	0	0	0	0	0	0.11811	0	0.08651	0.41513
6247207100_D	0	0	0.01836	0.0295	0	0	0.07604	0.13976	0	0	0	0	0.01105	0.01269	0.14753	0	0.06788	0.49719
6247207100_E	0	0	0.01712	0.01941	0	0.00346	0.02043	0.18629	0	0.05244	0	0	0	0	0.17048	0	0.0663	0.46406
6247207100_H	0	0	0.02125	0.03928	0	0.00365	0.09574	0.14879	0	0	0	0	0	0	0.08303	0	0.06543	0.54283
6247207100_I	0	0	0.0165	0.05775	0	0	0.07161	0.23506	0	0	0	0	0	0.02622	0.19152	0	0.01551	0.38584
6247207100_K	0	0	0.02343	0.0231	0	0.00193	0.06414	0.21908	0	0	0	0	0	0	0.11442	0	0.08282	0.47108
6247207100_L	0	0	0.018	0.00841	0	0	0.05627	0.26609	0	0	0	0	0	0.00262	0.11331	0	0.10145	0.43386
6247215001_A	0	0	0.02235	0.01859	0	5.00E-05	0.07445	0.17452	0	0	0	0	0	0.00324	0.15138	0	0.09505	0.46038
6247215001_C	0	0	0.01974	0.0276	0	0	0.06627	0.15585	0	0	0	0	0	0.00403	0.16979	0	0.09876	0.45795
6247215001_D	0	0	0.01884	0.04138	0	0	0.12465	0.16043	0	0	0	0	0	0.01548	0.08484	0	0.07574	0.47864
6247215001_F	0	0.00401	0.02244	0.02483	0	0	0.11289	0.20108	0	0	0	0	0	0.03219	0.06528	0	0.11273	0.42454
6247215001_G	0	0	0.02084	0.02379	0.00118	1.00E-05	0.06622	0.2299	0	0	0	0	0.00213	0.06601	0.15304	0	0.06922	0.36765
6247215001_H	0	0	0.01154	0.01648	0	0.00648	0.10595	0.17866	0	0	0	0	0	0.06708	0.11005	0	0.08135	0.42241
6247215001_J	0	0	0.00923	0.03173	0	0	0.12038	0.16486	0	0	0	0	0	0.00039	0.29531	0	0.06388	0.31422
6247215001_L	0	0	0.01675	0.0161	0	0	0.06113	0.1461	0	0.01988	0	0	0	0.0263	0.10634	0	0.07321	0.53419
6247215003_A	0	0	0.01939	0.03345	0	0.00164	0.07133	0.22688	0	0	0	0	0	0.01656	0.17894	0	0.06209	0.38971
6247215003_B	0	0	0.01476	0.03905	0	0.00549	0.06686	0.2065	0	0	0	0	0	0	0.13198	0	0.06786	0.4675
6247215003_C	0	0.00588	0.02355	0.01174	0	0	0.06141	0.19955	0	0	0	0	0	0	0.04133	0	0.12772	0.52883
6247215003_E	0	0	0.03218	0.0403	0	0	0.06966	0.21583	0	0	0	0	0	0.03036	0.17761	0	0.06465	0.36942
6247215003_F	0	0	0.01133	0.01823	0	0.00404	0.0779	0.1648	0	0	0	0	0	0	0.18468	0	0.10372	0.4353
6247215003_G	0	0	0.02631	0.0313	0.00078	0	0.09783	0.21761	0	0	0	0	0	0.06858	0.17194	0	0.05752	0.32812
6247215003_I	0	0	0.01668	0.02302	0.00271	0	0.05802	0.16687	0	0	0	0	0	0.08524	0.16905	0	0.08746	0.39096
6247215003_K	0	0	0.01529	0.05637	0	0	0.01775	0.26391	0	0	0	0	0	0	0.12387	0	0.02734	0.49546
6235804002_B	0	0	0.02035	0.02318	0	0.00018	0.08869	0.16385	0	0	0	0	0	0.09234	0.16189	0	0.08711	0.3624
6235804002_C	0	0	0.02031	0.01142	0	0	0.04575	0.15532	0	0	0	0	0.02333	0	0.11424	0	0.09487	0.53477
6235804002_D	0	0	0.02934	0.03051	0	0	0.06804	0.12726	0	0	0	0	0.02158	0.06321	0.10829	0	0.06577	0.48601
6235804002_E	0	0	0.02254	0.0288	0	0	0.10456	0.23585	0	0	0	0	0	0.00372	0.12188	0	0.06805	0.4146
6235804002_F	0	0	0.0152	0.01235	0	0	0.08101	0.18653	0	0.01045	0	0	0	0	0.13745	0	0.10361	0.4534
6235804002_H	0	0	0.02845	0.02313	0	0	0.08405	0.17798	0	0	0	0	0	0	0.16961	0	0.09025	0.42653
6235804002_I	0	0	0.01416	0.04502	0	0.0025	0.06365	0.22616	0	0	0	0	0	0.04108	0.17619	0	0.04923	0.38201
6235804002_L	0	0	0.0249	0.04088	0	0	0.04893	0.14998	0	0.00105	0	0	0	0	0.11962	0	0.06532	0.54932
6247207022_A	0	0	0.01279	0.05274	0	0.01054	0	0.27686	0	0	0	0	0	0	0.11672	0	0.03889	0.49147
6247207022_C	0	0	0.00983	0.03778	0	0.00683	0.09166	0.1932	0	0	0	0	0	0.00573	0.16572	0	0.01956	0.46969
6247207022_D	0	0	0.01165	0.01641	0	0	0.1815	0.16158	0	0	0	0	0	0	0.09034	0	0.0662	0.47231
6247207022_E	0	0	0.0079	0.02447	0	0	0.16173	0.11906	0	0	0	0	0	0	0.1528	0	0.14925	0.38479
6247207022_F	0	0	0.03768	0.00931	0	0	0.12585	0.28326	0	0	0	0	0	0	0.04132	0	0.07391	0.42866
6247207022_G	0	0	0.02155	0.01771	0	0	0.03206	0.24573	0	2.00E-04	0	0	0.01355	0	0.02182	0	0.10556	0.5418
6247207022_I	0	0	0.02209	0.02182	0	0	0.07184	0.15083	0	0	0	0	0	0.00375	0.17662	0	0.11346	0.43959
6247207022_J	0	0	0.01879	0.03601	0.00076	0	0.10717	0.30621	0	0	0	0	0	0	0.13913	0.01971	0.0309	0.34132
6247207022_K	0	0	0.01822	0.03119	0	0	0.09174	0.15794	0	0	0	0	0	0.00621	0.30828	0	0.04293	0.3435
6247207022_L	0	0	0.01859	0.02645	0	0	0.10256	0.21156	0	0.00631	0	0	0	0	0.12724	0	0.04338	0.46392
6247207024_B	0	0.00074	0.01233	0.01027	0	0.00022	0.06238	0.12044	0	0	0	0	0	0	0.11264	0	0.1948	0.48618
6247207024_C	0	0	0.01253	0.0415	0	0.00242	0.08751	0.20189	0	0	0	0	0	0	0.24164	0	0.04251	0.37
6247207024_D	0	0	0.01581	0.02722	0	0.00488	0.03157	0.24181	0	0.02361	0	0	0	0	0.12701	0	0.04767	0.48042
6247207024_E	0	0	0.02629	0.02827	0	0	0.00861	0.23503	0	0	0	0	0	0.02534	0.1187	0	0.04838	0.50938
6247207024_F	0	0	0.0312	0.02774	0	0	0.03729	0.21829	0	0	0	0	0	0	0.1301	0	0.08258	0.47281
6247207024_G	0	0	0.0099	0.03079	0	0	0.03027	0.21199	0	0	0	0	0	0.12147	0.24236	0	0.0574	0.29581
6247207024_H	0	0	0.01748	0.04559	0	0.00598	0.05855	0.18321	0	0	0	0	0	0.02319	0.08923	0	0.0415	0.53527
6247207024_K	0	0	0.0085	0.02778	0	0.00486	0.12089	0.1891	0	0	0	0	0	0	0.16081	0	0.04973	0.43833
6247207025_A	0	0	0.00529	0.02559	0.00071	0	0.10706	0.16451	0	0	0	0	0	0.04729	0.15881	0	0.09978	0.39096
6247207025_B	0	0	0.01985	0.02962	0	0	0	0.20409	0	0	0	0	0	0.09031	0.11632	0	0.0987	0.44111
6247207025_F	0	0	0.0206	0.02741	0	0	0.14909	0.2655	0	0	0	0	0	0	0.16634	0	0.06242	0.30864
6247207025_G	0	0	0.0191	0.03713	0	0	0.101	0.19139	0	0	0	0	0	0	0.11145	0	0.07522	0.46471
6247207025_I	0	0	0.01837	0.02473	0	0.00317	0.08408	0.16426	0	0.00099	0	0	0	0.00388	0.05809	0	0.08131	0.56113
6247207025_J	0	0	0.01005	0.02541	0	0.00326	0.12025	0.2289	0	0	0	0	0	0	0.0543	0	0.09097	0.46687
6247207025_K	0	0	0.01908	0.04498	0	0	0.08991	0.2536	0	0	0	0	0	0	0.17259	0	0.04551	0.37433
6247207025_L	0	0	0.02102	0.0264	0	0	0.02154	0.21416	0	0	0	0	0	0.00215	0.10718	0	0.07205	0.5355
6247207026_A	0	0	0.01254	0.03862	0	0	0.04775	0.21185	0	0	0	0	0	0.03545	0.1188	0	0.06107	0.47393
6247207026_B	0	0	0.02378	0.04334	0	0	0.04696	0.19064	0	0	0	0	0	0	0.10692	0	0.0839	0.50446
6247207026_C	0	0	0.00689	0.03486	0	0.0091	0.09195	0.25653	0	0	0	0	0	0.05711	0.19695	0	0.01873	0.32787
6247207026_D	0	0	0.01319	0.02976	0	0	0.13438	0.14447	0	0	0	0	0	0.10292	0.19073	0	0.03104	0.35352
6247207026_E	0	0	0.01857	0.02662	0	0.01092	0.12952	0.17333	0	0	0	0	0	0.02177	0.12793	0	0.04545	0.44588
6247207026_H	0	0.00196	0.01721	0.02268	0	9.00E-05	0.02116	0.25203	0	0	0	0	0	0	0.12506	0	0.0756	0.4842
6247207026_I	0	0	0.02288	0.02772	0	0	0.1037	0.21386	0	0	0	0	0	0.00423	0.1146	0	0.05333	0.45968
6247207026_J	0	0	0.01943	0.03733	0	0	0.03719	0.2039	0	0	0	0	0	0	0.07706	0	0.10039	0.52469
6247207027_A	0	0	0.00566	0.04594	0	0	8.00E-04	0.32278	0	0	0	0	0	0	0.14988	0	0.06846	0.40648
6247207027_B	0	0	0.05697	0.01838	0	0	0.07658	0.26498	0	0	0	0	0	0.03227	0.17429	0	0.09144	0.28509
6247207027_D	0	0	0.03044	0.02293	0	0	0.13319	0.13642	0	0	0	0	0.02666	0	0.06585	0	0.06058	0.52394
6247207027_E	0	0	0.01959	0.03711	0	0	0.07066	0.19829	0	0	0	0	0	0.04778	0.09695	0	0.06493	0.46469
6247207027_H	0	0	0.02286	0.01927	0	0.00542	0.09802	0.18127	0	0.01742	0	0	0	0	0.02861	0	0.10412	0.52301
6247207027_J	0	0	0.02299	0.02141	0	0.00083	0.12081	0.18859	0	0	0	0	0	0.00302	0.12502	0	0.10333	0.41401
6247207027_K	0	0	0.02566	0.0279	0	0	0.03749	0.24813	0	0.01281	0	0	0	0	0.08525	0	0.0886	0.47415
6247207027_L	0	0	0.01823	0.04621	0	0	0.02758	0.24728	0	0	0	0	0	0	0.30763	0	0.02962	0.32346
6247207028_A	0	0	0.02025	0.02571	0	0	0.12784	0.19696	0	0	0	0	0	0.00072	0.04837	0	0.05975	0.5204
6247207028_C	0	0	0.00921	0.03044	0	0	0.09045	0.13478	0	0	0	0	0	0	0.37278	0.00953	0.06528	0.28753
6247207028_E	0	0	0.02092	0.02603	0	0	0.10293	0.23117	0	0	0	0	0	0	0.1816	0	0.04637	0.39098
6247207028_F	0	0	0.03999	0.04659	0	0	0.02514	0.20305	0	0	0	0	0	0.01358	0.21833	0	0.02376	0.42957
6247207028_G	0	0	0.01922	0.01963	0	0	0.05895	0.24382	0	0	0	0	0	0	0.16806	0	0.07192	0.4184
6247207028_H	0	0	0.03163	0.05539	0	0	0.03457	0.37127	0	0	0	0	0	0	0.11295	0	0.03241	0.36179
6247207028_I	0	0	0.01769	0.03036	0	0	0.07157	0.19273	0	0	0	0	0	0	0.1005	0	0.07239	0.51477
6247207028_J	0	0	0.0151	0.05099	0	0.00349	0.08969	0.246	0	0	0	0	0	0	0.19468	0	0.0492	0.35085
6247207028_K	0	0	0.02868	0.03214	0	0	0.24828	0.1209	0	0	0	0	0	0.04764	0.20809	0	0.02571	0.28856
6247207028_L	0	0	0.0156	0.03086	0	0.00459	0.08164	0.20028	0	0	0	0	0	0.04427	0.21963	0	0.03408	0.36907
6247207030_A	0	0	0.01512	0.02537	0	0	0.10265	0.187	0	0	0	0	0	0	0.13562	0	0.09711	0.43713
6247207030_B	0	0	0.02004	0.03049	0	0	0.04481	0.23146	0	0	0	0	0	0	0.09111	0	0.08596	0.49612
6247207030_C	0	0	0.0351	0.00697	0	0	0.07694	0.26507	0	0	0	0	0.01474	0	0.10369	0	0.10379	0.39369
6247207030_D	0	0	0.00401	0.0331	0	0	0.14916	0.20903	0	0	0	0	0	0	0.13446	0	0.01839	0.45184
6247207030_E	0	0	0.01465	0.03007	0	0	0.08731	0.23371	0	0	0	0	0	0	0.02358	0	0.08403	0.52665
6247207030_G	0	0	0.015	0.0295	0	0.00568	0.10892	0.24268	0	0	0	0	0	0	0.14137	0	0.05938	0.39749
6247207030_I	0	0	0.01957	0.03153	0	0	0.11906	0.13031	0	0	0	0	0	0	0.19312	0	0.03088	0.47554
6247207030_L	0	0	0.01768	0.02607	0	0.00322	0.05232	0.26841	0	0	0	0	0	0.01205	0.09286	0	0.07703	0.45036
6247207032_B	0	0	0.00782	0.02776	0	0.01959	0.07007	0.32354	0	0	0	0	0	0	0.12384	0	0.05684	0.37054
6247207032_C	0	0	0.00961	0.02621	0	0	0.1164	0.22928	0	0.01865	0	0	0	0	0.09813	0	0.08712	0.41459
6247207032_D	0	0.00582	0.00914	0.00753	0	0	0.02581	0.21552	0	0.0034	0	0	0.03688	0.00898	0.15495	0	0.08545	0.44653
6247207032_G	0	0	0.01549	0.0161	0.00076	0	0.02706	0.24315	0	0	0	0	0	0.08245	0.08146	0	0.12445	0.40908
6247207032_H	0	0.00264	0.01216	0.02029	0	0	0.11539	0.14303	0	0	0	0	0	0	0.02776	0	0.09422	0.5845
6247207032_J	0	0	0.01743	0.04171	0	0	0.05219	0.19621	0	0	0	0	0	0	0.19007	0	0.0469	0.4555
6247207032_K	0	0	0.01985	0.03675	0	0	0.20362	0.25281	0	0	0	0	0	0	0.18695	0	0.00635	0.29367
6235804004_A	0	0	0.00764	0.02604	0	0.00059	0.08887	0.16855	0	0	0	0	0	0	0.16924	0	0.11622	0.42284
6235804004_B	0	0	0.02166	0.03637	0	0.00159	0.0688	0.21068	0	0	0	0	0	0.06185	0.24533	0	0	0.35372
