	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
6235821066_A	0	0	0.01537	0.01562	0	0.00758	0.1073	0.28795	0	0	0	0	0	0	0.16127	0	0.08274	0.32217
6235821066_C	0	0	0.02185	0.05943	0	0	0.07261	0.18442	0	0	0	0	0	0.03848	0.13208	0	0.02133	0.46978
6235821066_D	0	0	0.01798	0.02949	0	0	0.07941	0.25206	0	0	0	0	0	0	0.19605	0	0.06269	0.36232
6235821066_E	0	0	0.01364	0.02037	0	0	0.09306	0.21549	0	0	0	0	0	0.01799	0.24417	0	0.11254	0.28274
6235821066_F	0	0	0.01611	0.01964	0	2.00E-05	0.10898	0.18529	0	0	0	0	0	0.01515	0.06293	0	0.08428	0.5076
6235821066_H	0	0	0.01301	0.03515	0	0	0.10499	0.27112	0	0	0	0	0	0	0.17524	0	0.06688	0.33362
6235821066_I	0	0	0.0236	0.03276	0	0	0.04853	0.22105	0	0	0	0	0.02205	0	0.14206	0	0.08005	0.42989
6235821066_J	0	0	0.02125	0.02454	0	0.00169	0.10933	0.25262	0	0	0	0	0	0.00818	0.05159	0	0.07395	0.45686
6235821066_K	0	0	0.01396	0.01724	0	0	0.08566	0.17598	0	0	0	0	0	0.04967	0.24033	0	0.09961	0.31754
6235821066_L	0	0	0.028	0.05057	0	0	0.06933	0.22883	0	0	0	0	0	0.02311	0.27073	0	0.00964	0.31979
6235821067_B	0	0	0.01741	0.01411	0	0	0.11438	0.17114	0	0.01552	0	0	0	0	0.11113	0	0.13634	0.41997
6235821067_C	0	0	0.01473	0.01678	0	0.00975	0.10099	0.31358	0	0	0	0	0	0.00213	0.08609	0	0.08212	0.37383
6235821067_D	0	0	0.03802	0.02523	0	0.00041	0.03204	0.25028	0	0	0	0	0.00211	0.02285	0.11612	0	0.06148	0.45146
6235821067_G	0	0	0.01324	0.00745	0.00594	0	0.06724	0.1243	0	0	0	0	0	0.02799	0.26788	0.02563	0.19477	0.26555
6235821067_H	0	0	0.03249	0.00786	0	0	0.08242	0.23927	0	0	0	0	0	0.01556	0.10841	0	0.08275	0.43124
6235821067_I	0	0	0.01269	0.03634	0	0.00475	0.04419	0.2198	0	0	0	0	0	0.04943	0.23387	0	0.04963	0.34929
6235821067_J	0	0	0.0313	0.03629	0	0	0.08465	0.2456	0	0	0	0	0	0.02727	0.20953	0	0.04827	0.3171
6235821067_L	0	0.00112	0.02095	0.01504	0	0	0.08764	0.24009	0	1.00E-05	0	0	0.00667	0.03725	0.04988	0	0.10025	0.44109
6235821079_A	0	0	0.01812	0.02393	0	0	0.044	0.27215	0	0	0	0	0	0	0.17831	0	0.11272	0.35077
6235821079_B	0	0	0.02532	0.03496	0	0	0.05265	0.21313	0	0	0	0	0	0.01465	0.18524	0	0.04008	0.43399
6235821079_F	0	0.00101	0.02307	0.01644	0	0	0.06414	0.32404	0	0	0	0	0.0179	0	0.00923	0	0.11323	0.43095
6235821079_G	0	0	0.01953	0.04542	0	0	0.07361	0.18414	0	0	0	0	0	0.06289	0.10356	0	0.0711	0.43976
6235821079_I	0	0	0.02184	0.03156	0	0.001	0.08781	0.14672	0	0	0	0	0	0.06737	0.08581	0	0.06263	0.49525
6235821079_J	0	0	0.01939	0.02097	0	0	0.20844	0.22326	0	0	0	0	0.00809	0	0.08695	0	0.0853	0.34759
6235821079_K	0	0	0.02454	0.02363	0	0.00294	0.05356	0.23749	0	0	0	0	0	0.03555	0.17295	0	0.08528	0.36406
6235821079_L	0	0	0.01318	0.03071	0	0.00799	0.0738	0.25397	0	0	0	0	0	0	0.11462	0	0.06351	0.44223
6235821080_A	0	0	0.0279	0.0549	0	0	0.01569	0.28551	0	0	0	0	0	0	0.06778	0	0.10876	0.43946
6235821080_C	0	0	0.0175	0.01559	0	0	0.08696	0.27229	0	0.00639	0	0	0	0	0.09187	0	0.07954	0.42986
6235821080_D	0	0	0.0204	0.03655	0	1.00E-05	0.05784	0.11983	0	0	0	0	0	0.00163	0.33817	0.05103	0.02219	0.35235
6235821080_E	0	0	0.02363	0.04458	0	0	0.0742	0.25354	0	0	0	0	0	0	0.17301	0	0.02503	0.40602
6235821080_H	0	0	0.01725	0.02518	0	0.00265	0.10369	0.12396	0	0	0	0	0.01955	0.02014	0.11917	0	0.08173	0.48668
6235821080_I	0	0	0.02389	0.01908	0	0	0.01562	0.25314	0	0	0	0	0	0.02793	0.06005	0	0.10718	0.49311
6235821080_J	0	0	0.02803	0.03611	0	0.01291	0.07763	0.24435	0	0	0	0	0	0.00578	0.15178	0	0.0386	0.40481
6235821080_K	0	0	0.02563	0.02373	0	0	0.06076	0.20323	0	0.01687	0	0	0	0.0088	0.10255	0	0.06602	0.49241
6235821083_B	0	0	0.06201	0.01828	0	0	0.15317	0.0975	0	0	0	0	0.00548	0.00188	0.10367	0	0.09086	0.46714
6235821083_C	0	0	0.01919	0.02712	0	0	0.05148	0.20684	0	0.00375	0	0	0.00807	0.04887	0.09106	0	0.08157	0.46206
6235821083_D	0	0	0.02453	0.02536	0	0.00022	0.09247	0.26089	0	0	0	0	0	0.06153	0.20679	0	0.03366	0.29455
6235821083_E	0	0	0.02378	0.02784	0	0	0.09557	0.19208	0	0	0	0	0	0	0.11334	0	0.08116	0.46622
6235821083_F	0	0	0.02253	0.02128	0	0	0.02997	0.25465	0	0.00295	0	0	0	0	0.12327	0	0.09655	0.4488
6235821083_G	0	0	0.01703	0.02896	0	0	0.07294	0.22211	0	0	0	0	0	0	0.10628	0	0.134	0.41868
6235821083_H	0	0	0.02454	0.03786	0	0.001	0.14818	0.14996	0	0	0	0	0	0	0.11276	0	0.05614	0.46957
6235821083_K	0	0	0.02751	0.01134	0	0	0.0405	0.25199	0	0	0	0	0.00886	0	0.08701	0	0.11373	0.45906
6235821084_A	0	0	0.03268	0.02559	0	0	0.12103	0.20813	0	0	0	0	0	0	0.14341	0	0.07073	0.39843
6235821084_B	0	0	0.017	0.03556	0	0.00303	0.02562	0.29421	0	0	0	0	0	0.03037	0.17094	0	0.03458	0.38869
6235821084_D	0	0	0.02166	0.03135	0	0.01418	0.09521	0.09577	0	0	0	0	0	0	0.2306	0	0.02978	0.48146
6235821084_E	0	0	0.01641	0.02397	0	0.0038	0.04647	0.26545	0	0	0	0	0	0.05034	0.12207	0	0.11474	0.35674
6235821084_F	0	0	0.0241	0.03362	0	1.00E-05	0.04233	0.17675	0	0	0	0	0	0.12074	0.13527	0	0.04806	0.41912
6235821084_G	0	0	0.014	0.02355	0	0.00686	0.05237	0.27156	0	0	0	0	0	0	0.14299	0	0.063	0.42567
6235821084_H	0	0	0.02228	0.04857	0	0.00325	0.02644	0.16194	0	0	0	0	0	0.0107	0.27672	0	0.02469	0.42541
6235821084_I	0	0	0.01823	0.0275	0	0	0.0197	0.3176	0	0.01909	0	0	0	0	0.10269	0	0.07507	0.4201
6235821084_J	0	0	0.00576	0.02796	0.00605	0	0.09866	0.2801	0	0	0	0	0	0	0.14787	0	0.0961	0.33751
6235821084_L	0	0	0.01784	0.02823	0	0	0.02442	0.19488	0	0	0	0	0	0.01938	0.10393	0	0.09037	0.52097
6235821090_A	0	0	0.02054	0.01753	0	0.00552	0.10265	0.13393	0	0	0	0	0	0.02312	0.05587	0	0.08298	0.55785
6235821090_C	0	0	0.01709	0.02828	0	0	0.07375	0.11287	0	0	0	0	0	0.06005	0.12974	0	0.08869	0.48952
6235821090_D	0	0	0.01723	0.02055	0	0	0.05847	0.17957	0	0	0	0	0	0.06036	0.06011	0	0.12529	0.47843
6235821090_F	0	0	0.01671	0.02829	0	0.00565	0.07106	0.17923	0	0	0	0	0	0.06172	0.08252	0	0.04435	0.51047
6235821090_G	0	0	0.02355	0.03886	0	0	0.038	0.28349	0	0.0052	0	0	0	0	0.13117	0	0.07369	0.40605
