ID	DEFA4	CD163	PER1	RGS1	HIF1A	SEPP1	C11orf74	CIT	CFD	DDIT4	IFI27	IL1R2	IL8	MAFF	OCLN	B4GALT4	BPI	CD24	CEP55	CTSG	G0S2	MPO	MT1G	NDUFV2	PAM	PSMA6	TRIB1	CKS2	MKI67	POLD3	PLK1Ê	LY86	TST	OR52R1	KCNJ2	AIM2	APH1A	CCR2	EIF5A	GSTM1	HIST1H3H	NT5E	RAB40B	VNN3	ABCB4	CTSS	IKZF2	TGFBI	CST3	CBFA2T3	RCBTB2	CX3CR1	CD5	MTMR11	CLEC10A	EMR3	DHRS7B	CEACAM8
X96	5.420939777	5.92687424	4.230533164	1.509718839	6.70776371	none	none	3.515151561	7.003024154	5.52703784	6.370216833	9.117608812	none	3.664387215	none	1.710546739	5.551015087	5.676116069	1.920519759	4.430993109	4.887886245	4.322447608	6.949367769	none	4.512388402	8.283790126	5.278448479	4.025477171	3.3025082	4.167393082	3.188715362	7.578432656	4.807303024	none	7.144646022	6.297643439	5.61088559	5.368413829	6.899541261	none	none	2.225851019	1.972470156	3.192861588	2.6663217	3.574050906	2.368602236	5.692669445	7.801218326	4.091657812	3.077068859	9.168444192	5.091758459	5.275703474	3.134945326	none	4.247903542	2.616079866
X97	4.160161398	5.71547878	4.807966347	1.602534628	7.252071111	none	none	3.907646985	4.653625693	3.91013689	10.85289439	10.14548196	none	5.079279251	none	1.808035403	5.917107204	5.785693561	2.101185689	4.508600809	7.766634392	4.829184913	7.241041263	none	3.510436628	8.252186669	6.899619697	4.023877196	2.879092513	4.987619785	2.988947639	5.783652663	4.996676913	none	7.468030428	6.40040434	5.069348735	4.500098222	5.898590389	none	none	1.549579323	1.784291209	3.706355357	2.407527231	3.064326527	2.796950865	5.390836601	6.219314399	3.735124845	2.868950725	7.223920638	5.237986193	4.235569496	3.319870986	none	3.658668548	3.867817654
C13	4.038066259	4.00955764	4.415512024	1.592437372	7.299597451	none	none	3.596326353	5.851478652	3.937184652	4.735148775	5.092437527	none	4.040202331	none	1.774402672	3.515246854	5.989321037	1.920519759	4.52311261	4.476107247	4.181628531	6.635230951	none	3.822572855	7.753229611	5.517842136	3.541154707	2.611992263	4.409681084	2.830649031	6.359874891	5.105107765	none	5.892147921	4.894267387	5.350668941	4.965668104	5.955261238	none	none	2.184879418	2.074282268	3.705437575	2.404961053	4.366696234	2.507355356	6.408458271	6.276527783	4.28465842	3.62052753	8.369933958	5.137785737	4.401209475	3.319870986	none	3.643581422	1.835422117
C8	4.555033096	3.99284933	4.547272081	1.580682552	6.353215752	none	none	4.382975535	6.707637697	2.82216672	4.281514944	4.786184489	none	4.450508962	none	1.610092497	3.885090771	5.629675875	1.959456078	4.80203443	4.54469681	4.494224717	6.876627141	none	3.165845547	7.597975583	4.566015234	3.049505533	2.673759558	4.505680384	3.122229981	6.516328091	4.920493837	none	6.695128351	5.066661982	5.308935676	4.974964632	6.074684237	none	none	2.367406743	1.948524648	4.267745509	2.533241721	3.262085816	2.832314285	6.715442545	6.466172491	4.056494013	3.326401848	7.345843816	5.173646413	4.39508652	3.547527434	none	3.644884501	2.707638828
C9	4.274304772	3.47420881	4.71229596	1.519524306	5.704692712	none	none	3.97159766	6.016427536	3.960060477	8.634064438	4.554300513	none	4.341368451	none	1.728420251	3.925602892	5.586730883	1.824849372	4.521157159	4.410542287	4.699746566	7.069225135	none	2.715612828	6.465771167	4.031169947	2.476314502	2.884886692	4.648352047	3.212469489	5.940496166	4.907833804	none	5.861964783	4.24973373	5.297467418	4.509521003	5.917006861	none	none	2.373040448	1.948524648	3.804587956	2.606942659	3.244134185	2.590599832	6.421860133	6.847694063	4.091657812	2.620057445	8.614410974	5.578577968	4.164589963	3.507787937	none	3.614901684	2.334768894
6235821066_A	8.190007504	11.0158877	2.629055523	4.457200302	5.257702475	none	6.547836683	none	11.55201694	7.972910526	3.201016108	6.926037998	7.055554768	5.43476646	none	6.986442438	7.223548219	8.795097417	3.634253413	5.969448725	5.810094641	5.897077127	4.070275755	9.996272651	8.798429332	11.35404771	10.73137849	7.095513977	none	6.279738681	none	10.27405547	10.59943535	none	9.74166964	8.442111327	9.77965076	11.0925896	9.093114909	5.04402695	9.213962681	none	4.704094618	4.567455724	3.332201212	10.81332524	5.392154368	11.93453418	13.45683332	5.767629111	9.428029493	11.745348	6.505746962	4.417569955	5.466045267	8.673762606	7.674749609	7.054326747
6235821066_C	11.88363035	8.38084454	2.565773265	4.854929109	6.623015123	none	5.273173817	none	9.956913825	8.535008765	3.766374051	7.610572178	7.89703614	5.897404029	none	7.703963229	9.024339548	10.99515365	5.393943589	10.5276106	5.172207121	9.883923647	4.28229487	10.11732501	10.01848493	11.02803199	11.19196797	7.549892834	none	6.396839239	none	7.925551568	10.77364487	none	11.21096779	11.52134304	9.433269383	9.678331499	8.540148647	5.616321961	8.937751209	none	5.209572704	6.394618693	3.325267724	10.07381571	5.915710241	9.07447306	11.99682876	6.104103827	10.01811622	8.827669687	6.305372229	5.414657942	3.915838479	9.481664768	7.722122995	9.689024582
6235821066_D	9.34375739	9.96279818	2.914777457	4.791780484	5.947581379	none	6.275436153	none	12.51828887	8.424625125	9.41025713	6.971533211	6.941067431	3.683417534	none	6.84570156	6.964336398	8.81497965	5.136278443	7.21083426	4.009983043	7.215705655	3.540173348	10.05139893	9.159394428	11.28743738	9.974605058	7.46749334	none	6.814092305	none	10.13211848	10.41062762	none	10.33570009	9.32487025	9.540594187	10.37159069	9.377800464	5.1085992	8.944683529	none	4.545693046	4.593390493	2.731912327	10.36856482	5.576492289	11.49201905	12.91469064	6.022183408	9.579410418	10.96249406	5.41193554	4.902931595	5.052001872	8.512877459	7.650895527	7.07546289
6235821066_E	9.049108272	9.05994407	2.730985769	4.959523748	5.098025393	none	6.113807235	none	11.54975415	8.561276613	3.609027421	6.625291522	7.658489456	5.244863163	none	6.884776518	7.272305693	9.141191471	3.463186899	7.156734279	4.10750287	6.672709516	4.499460002	9.671584373	7.860190316	11.25628092	9.704490922	7.560852057	none	6.3648546	none	9.717137097	10.43304294	none	9.598643488	8.404578745	9.360084316	9.821303102	9.442013527	3.842961811	9.236100191	none	5.899660732	5.917441654	3.770067423	10.49620232	4.82181136	11.55427525	13.13081329	4.949249909	9.169227428	12.03162455	7.467735375	5.039865466	5.440880498	8.603915298	7.53313706	7.789890132
6235821066_F	8.135998646	10.6491306	4.057300421	5.580126556	6.39723141	none	6.079255528	none	10.8480872	8.534385391	7.092336908	8.86846136	9.524478718	5.446655251	none	7.942687599	6.986105654	8.487298789	2.889970051	6.588524849	6.19104646	5.682538153	4.31409445	9.696846453	9.980769429	11.45161919	11.17388424	7.304966793	none	6.138823483	none	8.709210196	10.852692	none	10.8692106	10.22374036	9.400197832	10.28634547	9.321475591	7.268081237	9.341562201	none	4.754908668	6.87649252	4.327872115	10.83767237	5.934719522	11.0075003	12.98859821	5.564963974	9.610271066	10.10718733	4.194804505	5.345728065	5.621122734	10.66349719	7.877810787	6.188477083
6235821066_H	9.68109358	10.5561504	2.62918305	4.788706844	6.054357606	none	7.008490167	none	8.377707151	8.96049099	2.736533085	8.092622293	5.807591942	4.33971828	none	9.459595789	11.42436406	13.28361624	8.021026192	6.929868297	5.699224605	7.696840925	6.359982642	10.0806794	11.16937566	12.20443393	11.45319036	9.190712035	none	5.817701379	none	5.797418182	9.843922995	none	9.830432895	9.217029289	9.604934913	7.365518818	7.998683821	4.491232144	9.380595528	none	4.853169061	4.557547029	4.15139904	8.631393945	6.099920068	6.019285575	11.09715765	4.976469966	7.685325179	5.87380725	3.043229218	5.163044076	5.462461939	3.13753153	7.550128642	11.08630384
6235821066_I	10.38585222	9.05254846	2.41899283	5.218406548	6.178160858	none	3.505334395	none	13.6968904	8.431684681	10.72651762	7.90083323	6.909396911	5.962533836	none	9.04027072	9.398748283	10.46265251	5.587145867	8.643212985	6.257648554	8.157831675	5.610661293	10.12465912	9.887713558	11.85914477	10.88270584	6.460354928	none	6.502660038	none	7.789078286	9.46398696	none	11.63375796	12.17892501	10.11718627	9.173072201	8.501030054	5.59894534	8.460168433	none	4.894247511	5.442963702	4.021088681	9.397846174	6.178160858	7.572471215	11.91245794	5.044450301	9.655809615	8.846332348	4.757151182	5.752238112	5.567291743	7.594597383	7.401437105	8.390599486
6235821066_J	8.203735119	10.1692235	3.330355601	3.84439403	6.228194394	none	6.476509774	none	11.63407631	9.056894871	3.296859107	7.952599855	8.492463348	5.625471106	none	7.365190505	7.187069699	8.981830143	3.500193109	6.940811827	4.3144578	6.146544016	3.465967605	9.707740158	8.934755144	11.25495462	10.87848599	7.584238707	none	6.427515287	none	9.866739816	10.8675103	none	11.12665663	10.03228389	9.497577303	11.15948142	8.228725593	4.391770007	7.197473002	none	4.821415643	6.097862179	4.742676035	10.51819097	5.850484489	10.20007828	12.95369346	5.285467248	9.984453849	10.50800174	2.475283017	5.682712982	5.244383712	9.428409939	7.535719828	7.338540307
6235821066_K	8.440988936	9.22049374	4.120877029	5.781287432	5.150120306	none	6.134249653	none	11.26082852	9.212063254	9.185898545	7.21590439	10.17034449	5.166748754	none	7.257736415	6.354997211	9.168285104	2.987861213	6.761486258	3.673963558	6.501285747	4.563457674	9.843435038	9.436123945	11.26219081	9.642850278	7.760400221	none	5.898150192	none	8.863078139	10.54777316	none	9.790800957	8.423098524	9.48219802	10.08301478	9.445265319	7.865635987	9.401195218	none	6.243253461	6.462777396	2.958393571	10.73464066	5.535561984	11.15993105	13.1918274	5.865628021	9.855216338	11.23733194	7.467640158	4.176982206	5.474080261	9.726339442	7.319363935	6.466487674
6235821066_L	14.76256667	8.06076926	2.032799856	4.424165457	4.823748924	none	7.322912539	none	10.37045201	7.769325557	4.033403667	5.743235721	5.195982067	5.219997543	none	7.952233747	13.06585851	13.57387276	6.794775679	13.22508673	4.841185809	12.52829849	3.740284265	9.604605057	10.16764974	10.93766622	9.558773007	8.174137451	none	6.423987578	none	8.699710226	10.4373875	none	9.724381655	8.245068563	8.788492186	9.213574877	9.14374575	7.165697942	7.909239983	none	5.002646169	5.401345395	3.841512812	9.399848256	5.607956105	10.65153568	12.27989166	5.596482364	9.268327515	10.48787462	6.194864843	4.333810813	4.915134242	8.511521477	7.520759124	12.92415183
6235821067_B	6.050420701	12.3283192	3.716060692	4.444860481	6.372115722	none	6.015170105	none	9.841282056	9.832380415	3.286576248	8.862808274	7.533982616	4.730002647	none	8.419091333	7.657223224	8.685868378	3.885011671	5.487428587	5.516825007	5.056421855	4.299222021	9.796573449	9.827294103	12.02112772	11.54163883	7.531408174	none	6.980889374	none	8.83023316	9.94305474	none	10.6428746	10.62701268	9.790097684	10.29004224	8.40927699	5.343134873	8.301237659	none	4.557480977	6.656123111	4.665475099	10.66997523	5.937197476	10.58865261	12.51775359	4.885959205	9.365340713	11.30168203	5.691847501	4.944395852	5.536141383	9.670232584	7.897713904	5.922135967
6235821067_C	7.568559832	11.4864863	4.195366829	4.478075595	6.195411505	none	6.880540527	none	12.00417319	8.299062118	6.147691171	7.503581881	6.740192477	5.092487718	none	8.005658638	6.606203172	8.640082076	4.522773201	6.574548596	5.046281224	6.333814968	5.069523187	10.39010798	9.009914497	11.8442133	11.04065618	6.858054511	none	7.016634724	none	10.22769849	10.67360363	none	10.55082525	9.296133641	10.20921984	11.07195101	9.379224233	6.041095923	8.425898166	none	4.600441328	5.3578127	3.960803332	10.86497263	5.31790054	11.92893151	13.21206701	5.327963772	9.59897199	11.39342188	5.364377303	4.766757065	5.588250043	9.839680243	7.632245204	6.505969511
6235821067_D	6.336381745	9.86579355	4.030233552	3.809263874	6.62012499	none	5.867453113	none	12.41683339	8.677333141	12.57693914	6.910931327	6.876155505	5.36517372	none	8.162377397	6.921826662	8.313766752	3.801811616	5.145803692	5.178811997	5.734606983	4.405604496	10.10322235	9.727819535	11.57378583	11.53856401	6.934180694	none	6.967629829	none	9.914263578	9.528411134	none	11.37449793	11.10849889	9.94948074	10.40968342	8.035105051	5.518234061	7.837926487	none	5.479266769	6.322544363	3.480578374	10.22255847	5.305188036	10.88621196	13.17247698	5.922446797	10.24293478	11.64103625	5.335436527	5.43129409	4.372423332	9.259332906	7.897163806	5.058165931
6235821067_G	6.61804775	8.81270057	3.257281223	5.650371799	4.789029551	none	6.223185623	none	11.08489753	9.67026528	3.902914807	6.665347756	10.57792283	5.203117722	none	7.909233401	6.034053932	9.160946141	4.132133998	5.709902221	5.356526557	5.299497979	4.082489912	9.913441288	9.205708453	11.35236287	9.946644042	7.744426136	none	5.998351114	none	9.085249629	10.08318482	none	9.695802834	8.611943292	9.739960525	9.611673295	8.621409218	6.159436132	7.923596712	none	6.126540467	6.586478198	4.701321188	10.49513716	5.52443579	10.91049298	12.97044841	5.509837226	9.594708046	12.0964877	7.811439096	4.682621378	4.796186634	9.390039535	7.066628704	4.471195673
6235821067_H	7.835715042	11.1351845	2.840304348	4.881353903	6.01909599	none	5.795850347	none	10.73483515	8.141030585	12.21700475	8.376640412	8.648403408	4.840345303	none	8.45747561	8.893939147	8.812307782	6.160011997	6.091158431	6.190961426	6.522133569	5.8641618	9.939736735	9.02799971	11.94488681	11.57172401	7.519600668	none	6.782184548	none	9.220986405	9.481032679	none	10.6737098	11.56102027	9.718461546	10.54950035	8.709368821	6.599635213	9.128031169	none	3.148026818	5.987159901	3.758584764	10.24083137	5.532902378	11.0891097	12.94338451	5.456359087	10.18112795	10.79317603	4.803808446	5.169307937	5.151688915	7.543456669	7.199186819	6.293502169
6235821067_I	12.97684226	9.04838747	4.180458412	4.959173173	6.718894749	none	6.14030111	none	10.92509039	7.82422265	3.929938355	7.017388581	7.094205895	4.501473027	none	7.626211435	10.41167125	12.19088972	5.447350693	11.18709213	3.998873004	10.54199502	3.6172385	9.882065234	8.672467486	11.36739134	9.539815081	8.069625618	none	6.385781859	none	8.816268074	10.43996238	none	10.08255198	8.7466355	9.13479351	10.64176945	8.907523333	4.271045561	5.058956179	none	5.320773863	6.459508718	3.466195334	10.38229925	5.257134971	10.80501319	12.82519438	5.884218827	10.0142547	11.08202455	7.156720915	4.295826401	5.160683901	9.545897737	7.413078538	11.54196376
6235821067_J	10.12324637	9.54548484	3.067881366	4.610776099	6.042190691	none	6.026361804	none	11.57129711	8.110316997	11.59091953	6.051163914	9.072403564	5.009821229	none	8.000184526	8.541664855	10.84089154	5.748677222	8.816006097	4.886300344	7.855403836	4.229275769	10.25023579	8.434774854	11.38148194	11.23575714	7.513691335	none	6.374717561	none	9.955942241	10.45172657	none	10.0934419	9.774236877	9.888448292	10.96207107	9.469680796	6.593408395	7.948967699	none	5.419921459	5.38321921	3.765159666	10.04070442	5.534811134	11.45057401	13.20142436	6.308091661	9.502898977	10.87706739	6.566558786	5.175958522	4.679194338	9.794286017	7.280853872	8.878060799
6235821067_L	12.4721181	12.2153368	3.178226782	4.97880088	6.100675012	none	5.277987253	none	10.0026082	9.485480624	6.786274959	8.770578245	8.302215091	5.122813784	none	7.70566221	9.315479758	11.82839588	5.066488427	10.32876183	6.456957881	10.45453232	4.495617977	9.783430036	10.62660113	11.25693955	10.47660466	7.604662919	none	7.570650743	none	8.768070429	9.884778199	none	11.36883888	10.85257901	9.765719722	9.608862039	8.735922251	4.117679171	9.315479758	none	4.621653152	5.996981212	3.607455214	9.93914387	5.859128257	9.759206199	12.49193171	5.915146453	10.19549415	10.56865229	4.212581095	4.796635212	4.65654813	8.047202649	7.71521363	10.16211385
6235821079_A	6.173401965	12.0276642	4.029760029	5.723048036	6.140227399	none	5.529993104	none	8.578292355	10.69092847	11.21290443	8.141452661	6.503961823	5.471664692	none	10.10723197	11.6564274	12.91574038	9.137152845	5.915044636	7.19065237	6.09485273	7.396650581	10.48486274	10.70805958	12.09223648	12.87823043	9.321707457	none	6.562192482	none	6.855047939	9.665967133	none	9.934607956	11.24972217	10.01978053	8.056288735	8.350069773	4.665187169	9.904779231	none	4.451169014	4.802199246	3.721015838	9.255690384	5.849097187	7.601335381	11.79062886	4.790080438	8.721463648	9.017850344	4.205330802	5.036405249	4.50630635	4.914049552	7.564348527	9.484187436
6235821079_B	13.39337087	7.97701375	3.750770221	4.188202119	6.303026821	none	6.032122908	none	10.01370517	7.961002714	3.838419454	6.942382203	7.031321531	5.298292097	none	7.938467782	12.26182999	12.86812458	6.600058861	12.16263247	4.948226607	11.89694559	4.121656394	10.1420329	9.177446448	11.25175191	10.80623696	8.112866297	none	5.908928039	none	8.412310093	10.72064324	none	10.58816134	9.361870855	9.169711274	9.242312171	9.481060322	6.704976989	8.460616268	none	5.120077283	5.821097833	3.146078918	10.95637048	5.34398579	10.07028371	12.6211154	6.399219064	9.905121902	10.7630465	6.286384387	4.318071398	4.691898814	9.26826108	7.79035113	12.49107618
6235821079_F	6.479747278	10.9926496	3.471821688	4.659947812	6.283268131	none	5.083567528	none	12.80947063	8.569515931	6.135568317	9.451654768	8.362087971	4.140696508	none	9.691214475	9.889421838	10.78055872	6.573699151	4.388254943	7.470754459	6.195199489	4.708261962	9.961131755	10.75435087	12.57213	11.99268429	7.384051506	none	7.043931382	none	6.95688719	9.748259052	none	11.0780237	12.06858429	10.13389321	8.285058526	9.113806093	5.111900059	9.323220228	none	3.575611536	6.494220891	3.827318931	9.574808096	6.394990811	6.400110637	11.3782385	4.603524374	9.629317017	7.259327874	2.839192079	5.139814607	5.247452388	5.830941412	7.512245934	6.460229645
6235821079_G	10.58281123	9.60143554	2.807793707	4.738147338	5.750886976	none	5.741027713	none	12.33213173	9.146530337	7.198080719	7.33154519	7.428245068	5.867748874	none	7.954860986	8.728985243	9.997606044	5.263090489	8.191915179	4.271474337	7.265734	5.145710058	10.27978497	9.102171546	11.43195536	10.90032646	7.650263918	none	6.466603536	none	7.924601009	10.86181621	none	10.86830639	10.11341508	9.707459036	10.66516848	8.085773797	4.585362479	8.874457814	none	4.907864211	6.513326507	3.439401302	9.633435395	5.818259141	10.31807008	12.91623469	5.178057839	10.39891154	9.763589388	6.193729065	5.00046002	4.913120316	9.830968655	7.033021584	7.957105236
6235821079_I	7.627344421	9.28774255	3.852400134	4.806963647	6.062682749	none	5.234981383	none	10.64167361	8.631791856	4.951680491	8.356709557	9.200279398	5.938440836	none	7.485255213	6.032538127	8.234107451	3.032055549	5.834520568	4.26948204	5.861146878	4.995674065	9.748932556	8.2664901	10.62256848	11.22348362	6.674593984	none	6.814001799	none	8.748979282	10.64941702	none	11.48134633	10.03076081	9.765915046	9.462936333	9.043771378	5.531681079	8.209529776	none	5.068886117	7.034557991	4.082368779	10.40044405	5.346465037	10.52897307	12.37646215	5.702662693	9.288477146	10.73425385	6.267388521	6.039287665	4.765741454	10.34023393	7.44516348	5.527056629
6235821079_J	10.94638695	11.2124666	3.197474031	6.155939837	7.366458575	none	6.469468094	none	10.61845413	9.243906335	10.54124745	7.710646343	5.512760298	5.350834005	none	9.53947857	12.19639769	11.85175269	9.250848631	9.363603259	5.206827869	10.11890718	5.686455766	9.970317144	10.73629788	12.8579709	10.99586782	9.385218898	none	5.916477909	none	6.346321233	10.18976127	none	10.19816877	11.8861348	9.824648506	8.030140685	9.027063789	6.67284019	10.4257093	none	5.116046168	4.427958999	3.412184923	8.939272058	5.478078751	7.047584638	12.79077765	4.070599797	9.390677393	8.452014804	2.372194146	5.057922284	4.504538713	5.227157658	7.386661977	11.35507501
6235821079_K	7.66862145	9.97777837	3.112880549	5.88250249	5.872897076	none	6.502730405	none	10.95813383	8.860986698	5.872897076	6.88257512	9.183378661	5.270039709	none	7.349579034	7.756583059	9.254752979	4.204214753	6.180924354	6.987689337	5.863233086	4.094062769	9.810816023	9.905672226	11.19279636	11.47041845	7.647242622	none	7.091535417	none	10.11111628	10.27113129	none	10.16993126	10.47424632	9.830638765	10.2850937	8.808819168	5.33340596	9.657294622	none	4.882379596	5.969440654	3.395718678	10.60788503	5.667575722	11.08254934	12.91867354	5.803982418	9.831287649	10.79283404	6.496323509	5.023920313	4.943471673	9.505942973	7.226889398	5.453648962
6235821079_L	8.147472061	10.191014	2.096625589	5.959220295	6.070229236	none	6.587756479	none	10.94737625	8.815373695	7.499825196	8.88843034	10.11909871	5.780500166	none	7.309920225	7.871919607	8.927210214	3.269137828	6.250146801	6.053397558	6.381320046	3.869142104	9.842137615	10.07096197	11.38779127	11.48219395	7.256426517	none	6.20787175	none	8.704788917	10.36785789	none	10.55494693	10.46203954	9.32337187	11.05445013	8.638580086	5.209821375	7.836787001	none	4.824269718	6.743598843	3.631205993	10.49953714	6.413749462	10.22157909	12.76252754	4.616375474	10.04737896	10.28569388	4.733383896	4.357027481	5.169961069	8.754146654	7.703882174	6.800391946
