Sample.ID	DEFA4	CD163	PER1
169718_DO011138973DR_5388500006_K	315.6		
128115_GC008233485DR_5388500006_L	61.7		
169926_DO011143129DR_5388500007_A	1750.3		
169922_DO011143048DR_5388500007_B	8286.6		
169728_DO011139340DR_5388500007_C	1425.2		
169771_DO011139468DR_5388500007_D	18030.8		
169929_DO011143183DR_5388500007_E	93.9		
170373_DO011140220DR_5388500007_F	284.5		
170434_DO011145217DR_5388500007_G	1033.8		
170431_DO011145235DR_5388500007_H	5348.8		
169695_DO011133229DR_5388500007_I	57.8		
169963_DO011140537DR_5388500007_J	287.4		
169721_DO011139034DR_5388500007_K	953.9		
128115_GC008233485DR_5388500007_L	83.6		
169894_DO011142346DR_5388500008_A	754.9		
169932_DO011143246DR_5388500008_B	1736.8		
169774_DO011139511DR_5388500008_C	762.4		
169831_DO011139792DR_5388500008_D	6044.4		
169899_DO011142427DR_5388500008_E	88.4		
170196_DO011145316DR_5388500008_F	1948.4		
170436_DO011145253DR_5388500008_G	2223		
170429_DO011145154DR_5388500008_H	4756.5		
169696_DO011133247DR_5388500008_I	298.5		
169982_DO011140690DR_5388500008_J	461.4		
169723_DO011139070DR_5388500008_K	1768.9		
128115_GC008233485DR_5388500008_L	67.4		
169925_DO011143100DR_5388500009_A	1445.8		
169896_DO011142364DR_5388500009_B	2574.3		
169794_DO011139639DR_5388500009_C	883.7		
170240_DO011139972DR_5388500009_D	587		
169913_DO011142445DR_5388500009_E	96.1		
170194_DO011143381DR_5388500009_F	120.6		
170379_DO011140348DR_5388500009_G	80.7		
170430_DO011145172DR_5388500009_H	662.3		
169697_DO011133265DR_5388500009_I	92.6		
169935_DO01114041XDR_5388500009_J	273.4		
169934_DO011140393DR_5388500009_K	97.6		
128115_GC008233485DR_5388500009_L	75.3		
169897_DO011142382DR_5388500010_A	2276		
170239_DO011145433DR_5388500010_B	3411.6		
169791_DO011139576DR_5388500010_C	7294.2		
169775_DO01113953XDR_5388500010_D	1346.4		
169914_DO011142463DR_5388500010_E	380.4		
170191_DO011143327DR_5388500010_F	511.1		
170374_DO011140249DR_5388500010_G	60.1		
170377_DO011140301DR_5388500010_H	124.8		
169698_DO011133283DR_5388500010_I	209.1		
169987_DO011140771DR_5388500010_J	1126.5		
169985_DO011140753DR_5388500010_K	101.6		
128115_GC008233485DR_5388500010_L	77.7		
169898_DO011142409DR_5388500011_A	264.6		
170244_DO011145514DR_5388500011_B	5519.6		
170370_DO011140168DR_5388500011_C	2611.2		
170369_DO01114014XDR_5388500011_D	2062.3		
169915_DO011142481DR_5388500011_E	15040.9		
170238_DO011145415DR_5388500011_F	3228.7		
169699_DO01113330XDR_5388500011_G	160.2		
169965_DO011140555DR_5388500011_H	819.2		
169724_DO011139099DR_5388500011_I	1211		
169956_DO011140456DR_5388500011_J	156.5		
169832_DO011139819DR_5388500011_K	9937.5		
128115_GC008233485DR_5388500011_L	85		
169887_DO011142200DR_5388500012_A	337.4		
170193_DO011143363DR_5388500012_B	347		
169797_DO011139693DR_5388500012_C	1742.7		
169798_DO01113971XDR_5388500012_D	3290.8		
170243_DO011145498DR_5388500012_E	2938.7		
170380_DO011140366DR_5388500012_F	406.7		
169701_DO011133346DR_5388500012_G	4835		
169957_DO011140474DR_5388500012_H	297.7		
169725_DO011139115DR_5388500012_I	157.8		
169971_DO011140654DR_5388500012_J	744.5		
169790_DO011139558DR_5388500012_K	4741		
128115_GC008233485DR_5388500012_L	67.9		
169888_DO011142229DR_5388500017_A	821.2		
170190_DO011143309DR_5388500017_B	1048.5		
169830_DO011139774DR_5388500017_C	1745.8		
169840_DO011139918DR_5388500017_D	1379		
169886_DO011142184DR_5388500017_E	107.1		
170195_DO011143408DR_5388500017_F	214.5		
169700_DO011133328DR_5388500017_G	701.4		
169968_DO011140591DR_5388500017_H	17926.9		
169727_DO011139151DR_5388500017_I	197.7		
169984_DO011140735DR_5388500017_J	546.9		
169841_DO011139936DR_5388500017_K	10742.9		
128115_GC008233485DR_5388500017_L	79.4		
FCC_Nov.4.09	1883.022		
FCC_Nov.6.09	3920.709		
FCC_Nov.10.09	3418.949		
HUV_6d1	1433.995		
HUV_6d3	11769.69		
HUV_7d1	3907.885		
P6_Nov.17.09	7873.135		
P12_Nov.24.09	25414.06		
P12_Nov.30.09	2707.304		
P13_Nov.29.09	24436.1		
DED_Nov.3.09	3098.557		
MA.S.A_Nov.14.09	5768.982		
P6_Nov.11.09	24413.96		
