patient.ID	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
d25	0.0731	0	0	0	0.09212	0	0	0	0.015	0	0.08487	0	0.31976	0.05237	0	0	0	0	0	0	0	0.36279
d29	0.06513	0	0	0	0.05016	0	0	0	0	0	0.02594	0	0.20556	0.20276	0	0	0	0	0	0	0	0.45044
d37	0.06752	0	0	0	0.12251	0	0	0	0.09742	0	0.08601	0	0.20381	0.18973	0	0	0	0	0	0	0	0.23301
d38	0.06094	0	0	0	0.03931	0	0	0	0	0	0.02496	0	0.2306	0.17798	0	0	0	0	0	0	0	0.46622
d39	0.03228	0	0	0	0.09524	0	0	0	0.02348	0	0.00598	0	0.55003	0.11053	0	0	0	0	0	0	0	0.18246
d61	0.06146	0	0	0	0.12375	0	0	0	0.00707	0.01315	0.00598	0	0.33771	0	0	0	0	0	0	0	0	0.45087
d68	0.1616	0	0	0.03187	0.10774	0	0	0	0.03478	0	0.0639	0	0.2489	0.01759	0	0	0	0	0	0	0	0.33361
d84	0.04957	0	0	0	0.13249	0	0	0	0.04093	0	0.03104	0	0.40987	0.08045	0	0	0	0	0	0	0	0.25565
d91	0.01698	0	0	0	0.06076	0	0	0	0.06176	0	0.06847	0	0.4255	0.05732	0	0	0	0	0	0	0	0.3092
d121	0.01212	0	0	0	0.16877	0	0	0	0	0	0.01468	0	0.21403	0	0	0	0	0	0	0	0	0.5904
d155	0.02293	0	0	0	0.02772	0	0	0	0	0.02684	0.00018	0	0.33799	0.05685	0	0	0	0	0	0	0	0.52749
d161	0.09972	0	0	0	0.10056	0	0	0	0.08898	0	0.01958	0	0.32385	0.02302	0	0	0	0	0	0	0	0.34429
d187	0.09759	0	0	0	0.15123	0	0	0	0.04615	0	0.06128	0	0.24176	0	0	0	0	0	0	0	0	0.40198
d188	0.07377	0	0	0.23739	0.02611	0	0	0	0.04332	0	0.07305	0	0.25494	0	0	0	0	0	0	0	0	0.29142
d194	0	0	0.0052	0.29028	0	0	0.00404	0	0	0.00626	0.21645	0	0.15773	0	0.00665	0	0	0	0	0	0	0.3134
d205	0.17906	0	0	0	0.13506	0	0	0	0.12051	0	0	0	0.04592	0.00577	0	0	0	0	0	0	0	0.51367
d246	0.09562	0	0	0	0.12858	0	0	0	0.0536	0	0.02791	0	0.21669	0.02573	0	0	0	0	0	0	0	0.45188
d249	0.02638	0	0	0.0629	0.08524	0	0	0	0.03839	0	0.05302	0	0.34256	0.16535	0	0	0	0	0	0	0	0.22615
d253	0.04847	0	0	0	0.06725	0	0	0	0.00496	0	0.03494	0	0.28977	0.20456	0	0	0	0	0	0	0	0.35005
d283	0.12573	0	0	0	0.14183	0	0	0	0.03507	0	0.00312	0	0.31381	0	0	0	0	0	0	0	0	0.38043
d284	0.07124	0	0	0	0.04143	0	0	0	0	0.01914	0.00722	0	0.34171	0.15501	0	0	0	0	0	0	0	0.36426
d299	0.08966	0	0	0	0.06783	0	0	0	0.05444	0	0.01324	0	0.20338	0.17996	0	0	0	0	0	0	0	0.39149
d303	0.08461	0	0	0	0.05977	0	0	0	0.00101	0	0.01481	0	0.31009	0.12106	0	0	0	0	0	0	0	0.40865
d307	0.05676	0	0	0	0.08597	0	0	0	0	0.00568	0.01068	0	0.28943	0	0	0	0	0	0	0	0	0.55148
d309	0.08254	0	0	0	0.05715	0	0	0	0	0.01069	0.05043	0	0.25176	0.08216	0	0	0	0	0	0	0	0.46527
d315	0.1115	0	0	0	0.01814	0	0	0	0.04117	0	0.00572	0	0.18607	0.24617	0	0	0	0	0	0.01176	0	0.37947
d326	0.03391	0	0	0	0.06853	0	0	0	0	0	0.02879	0	0.21816	0.07105	0	0	0	0	0	0	0	0.57956
d347	0.04455	0	0	0	0.06062	0	0	0	0	0	0.04322	0	0.36777	0.1953	0	0	0	0	0	0	0	0.28854
