patient.ID	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_Tregs	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils
d360	0.06056	0	0	0	0.09392	0	0	0	0.01919	0	0.03967	0	0.32649	0.06991	0	0	0	0	0	0	0	0.39025
d364	0.07893	0	0	0	0.15119	0	0	0	0.00563	0	0.01218	0	0.29914	0.08533	0	0	0	0	0	0	0	0.3676
d366	0.11093	0	0	0	0.02684	0	0	0	0.01996	0	0.00874	0	0.1695	0.39047	0	0	0	0	0	0.00775	0	0.26581
d387	0.07166	0	0	0	0.02162	0	0	0	0	0.00938	0.15388	0	0.12399	0.16337	0	0	0	0	0	0	0	0.45609
hf2	0.07168	0	0	0	0.07829	0	0	0	0	0	0.01896	0	0.27535	0.16032	0	0	0	0	0	0	0	0.39539
hf6	0.05465	0	0	0	0.13443	0	0	0	0	0	0.06823	0	0.21859	0	0	0	0	0	0	0	0	0.52409
hf10	0.06528	0	0	0.01091	0.03769	0	0	0	0	0	0.05374	0	0.31987	0.22121	0	0	0	0	0	0	0	0.29131
hf11	0.03265	0	0	0	0.0054	0	0	0	0	0.05378	0	0	0.26989	0.12926	0	0	0	0	0	0	0	0.50901
hf13	0.04713	0	0	2.00E-05	0.18606	0	0	0	0.00294	0	0.05398	0	0.22918	0	0	0	0	0	0	0	0	0.48069
hf18	0.08401	0	0	0.00595	0.12165	0	0	0	0.00132	0	0.1153	0	0.30233	0.0525	0	0	0	0	0	0	0	0.31694
hf20	0.06579	0	0	0	0.0074	0	0	0	0	0.02932	0.03776	0	0.18086	0.22507	0	0	0	0	0	0	0	0.45381
hf22	0.0419	0	0	0	0.05268	0	0	0	0	0.03311	0.04904	0	0.25907	0.06796	0	0	0	0	0	0	0	0.49623
hf25	0.05428	0	0	0	0.077	0	0	0	0	0	0.05493	0	0.24808	0.17981	0	0	0	0	0	0	0	0.38589
hf27	0.10981	0	0.00768	0.01129	0.05018	0	0	0	0.02536	0	0.03308	0	0.29719	0.28084	0	0	0	0	0	0	0	0.18456
hf33	0.0839	0	0	0	0.07621	0	0	0	0.03627	0	0.01751	0	0.34649	0.04728	0	0	0	0	0	0	0	0.39232
hf37	0.06432	0.00893	0	0.30488	0	0	0	0	0.00509	0	0.17156	0	0.23316	0	0	0	0	0	0	0	0	0.21206
hf40	0.03344	0	0	0.08932	0.04177	0	0	0	0	0.01588	0.08868	0	0.34424	0.09782	0	0	0	0	0	0	0	0.28886
hf45	0.04649	0	0	0	0.03874	0	0	0	0	0.00664	0.02298	0	0.23149	0.15119	0	0	0	0	0	0	0	0.50247
hf57	0.08788	0	0	0	0.08968	0	0	0	0.01474	0	0.03016	0	0.35626	0.08268	0	0	0	0	0	0	0	0.33861
hf59	0.04351	0	0.00202	0	0.07457	0	0	0	0	0	0.05147	0	0.34276	0.06825	0	0	0	0	0	0	0	0.41741
hf68	0.07901	0	0	0.00328	0.11268	0	0	0	0.03689	0	0.12248	0	0.26957	0.10804	0	0	0	0	0	0	0	0.26805
hf76	0.09465	0	0	0	0.0752	0	0	0	0.0189	0	0.03885	0	0.12369	0.28334	0	0	0	0	0	0	0	0.36537
hf79	0.05601	0	0	0	0.01523	0	0	0	0	0.03493	0	0	0.09683	0.14995	0	0	0	0	0	0	0	0.64705
hf81	0.05027	0	0	0	0.05212	0	0	0	0	0.0262	0.03015	0	0.13244	0.01097	0	0	0	0	0	0	0	0.69784
hf82	0.11844	0	0	0	0.1301	0	0	0	0.01645	0	0.01629	0	0.34546	0.02268	0	0	0	0	0	0	0	0.35058
hf83	0.1101	0	0	0	0.10428	0	0	0	0	0	0.02984	0	0.18567	0	0	0	0	0	0	0	0	0.57011
hf86	0.06474	0	0	0	0.05122	0	0	0	0.01724	0	0.02264	0	0.16464	0.20616	0	0	0	0	0	0.00883	0	0.46451
hf97	0.09123	0	0	0	0.11012	0	0	0	0.03987	0	0.06394	0	0.24127	0.21775	0	0	0	0	0	0	0	0.23581
hf98	0.14538	0	0	0	0.10122	0	0	0	0.00347	0	0.07302	0	0.18074	0.16577	0	0	0	0	0	0	0	0.33042
hf99	0.09159	0	0	0.0372	0.04325	0	0	0	0.00878	0	0.10916	0	0.29878	0.11287	0	0	0	0	0	0	0	0.29837
hf100	0.08386	0	0	0.07935	0.01513	0	0	0	0	0	0.24917	0	0.06497	0.09691	0	0	0	0	0	0	0	0.41061
hf101	0.09748	0	0	0	0.14332	0	0	0	0.03276	0	0.04427	0	0.13273	0.0016	0	0	0	0	0	0	0	0.54784
hf102	0.07547	0	0.00291	0	0.1381	0	0	0	0.00314	0	0.0178	0	0.21952	0.10437	0	0	0	0	0	0	0	0.4387
hf103	0	0.05629	0	0.02486	0.15938	0	0	0	0.05374	0	0.07321	0	0.29113	0	0	0	0	0	0	0	0	0.34138
hf104	0.08487	0	0	0	0.05831	0	0	0	0	0.01129	0.04284	0	0.31758	0.10047	0	0	0	0	0	0	0	0.38463
hf106	0.0669	0	0	0.08887	0.00185	0	0	0	0.00428	0	0.05522	0	0.20871	0.21295	0	0	0	0	0	0	0	0.36122
hf107	0.18964	0	0	0.17435	0.05922	0	0	0	0.08983	0	0.01149	0	0.25974	0	0.012	0	0	0	0	0	0	0.20372
hf111	0.07411	0	0	0	0.09208	0	0	0	0	0	0.00549	0	0.24774	0.0587	0	0	0	0	0	0	0	0.52188
hf120	0.10702	0	0	0.05892	0.17787	0	0	0	0.10557	0	0.07656	0	0.0819	0.0557	0	0	0	0	0	0	0	0.33645
hf124	0.04835	0	0	0	0.06287	0	0	0	0	0	0.06612	0	0.32965	0.11058	0	0	0	0	0	0	0	0.38243
hf126	0.06835	0	0	0	0.10479	0	0	0	0.01211	0.00982	0.01398	0	0.30613	0	0	0	0	0	0	0	0	0.48483
hf128	0.07366	0	0	0	0.02788	0	0	0	0	0.00491	0.01743	0	0.10645	0.19974	0	0	0	0	0	0.00017	0	0.56975
hf136	0.01015	0	0	0	0.08391	0	0	0	0	0	0.03176	0	0.25631	0	0	0	0	0	0	0	0	0.61787
hf138	0.00106	0	0	0.05536	0.09984	0	0	0	0	0.02966	0.03174	0	0.3611	0	0	0	0	0	0	0	0	0.42124
hf155	0.00509	0.00313	0	0.09367	0.09356	0	0	0	0	0.0095	0.0361	0	0.34331	0	0	0	0	0	0	0	0	0.41564
hf158	0.02761	0	0.00899	0	0.05202	0	0	0	0	0.04603	0.02196	0	0.28182	0.05566	0	0	0	0	0.00447	0	0	0.50144
hf159	0.04996	0	0	0	0.04509	0	0	0	0	0	0.02196	0	0.30868	0	0	0	0	0	0	0	0	0.57432
hf161	0.03305	0	0	0.03971	0.14451	0	0	0	0	0	0.06037	0	0.24505	0.00802	0	0	0	0	0	0	0	0.46929
hf162	0	0	0.00568	0	0.10492	0	0	0	0	0	0.07213	0	0.33051	0	0	0	0	0	0	0	0	0.48676
hf174	0.08163	0	0	0	0.04255	0	0	0	0	0.02773	0.02502	0	0.22561	0.18658	0	0	0	0	0	0	0	0.41088
hf179	0.01731	0.01604	0	0.01751	0.08141	0	0	0	0	0	0.08856	0	0.28909	0	0	0	0	0	0	0	0	0.49009
hf184	0.02541	0	0.00784	0	0.02021	0	0	0	0	0	0.03859	0	0.38198	0.23249	0	0	0	0	0	0.00506	0	0.28842
hf188	0.17004	0	0	0.00758	0.13095	0	0	0	0.02738	0	0.06665	0	0.10457	0	0	0	0	0	0	0	0	0.49283
hf189	0.10334	0	0	0	0.02415	0	0	0	0	0	0.01913	0	0.11308	0.31489	0	0	0	0	0	0	0	0.42542
hf190	0.06354	0	0	0	0.09017	0	0	0	0.00841	0	0.08685	0	0.29689	0.21508	0	0	0	0	0	0	0	0.23907
hf192	0.06613	0	0.00169	0	0.13043	0	0	0	0	0	0.08337	0	0.11878	0.04327	0	0	0	0	0	0	0	0.55634
hf193	0.05888	0	0	0	0.01166	0	0	0	0	0.025	0.0221	0	0.26536	0.25199	0	0	0	0	0	0	0	0.36502
hf194	0.06181	0	0	0	0	0	0	0	0	0	0.02549	0	0.20688	0.30237	0	0	0	0	0.00914	0	0	0.39431
hf195	0.03641	0	0	0	0.09414	0	0	0	0.01489	0	0.07776	0	0.21901	0.07796	0	0	0	0	0	0	0	0.47983
hf196	0.06563	0	0	0.0192	0.08736	0	0	0	0.0463	0	0.07207	0	0.32577	0.01127	0	0	0	0	0	0	0	0.37241
hf197	0.15836	0	0	0.06329	0.12984	0	0	0	0.07746	0	0.06905	0	0.15641	0.0538	0	0	0	0	0	0	0	0.29179
hf201	0.06788	0	0	0	0.06396	0	0	0	0.03997	0	0.04094	0	0.26324	0.17154	0	0	0	0	0	0	0	0.35247
hf202	0.03663	0	0	0.03181	0	0	0	0	0	0.00388	0.10774	0	0.27996	0.26834	0	0	0	0	0.00314	0	0	0.26851
hf203	0.10145	0	0	0	0.03941	0	0	0	0	0.05108	0.02084	0	0.18521	0.03365	0	0	0	0	0	0	0	0.56835
hf205	0.11795	0	0	0	0.03554	0	0	0	0	0.01722	0.0363	0	0.08462	0.24697	0	0	0	0	0	0	0	0.4614
hf206	0.02559	0	0	0	0.01863	0	0	0	0	0.01331	0.03858	0	0.42065	0.18945	0	0	0	0	0	0	0	0.29378
hf207	0.09298	0	0	0	0.01736	0	0	0	0	0	0.04365	0	0.09876	0.19267	0	0	0	0	0	0	0	0.55459
hf210	0.09172	0	0	0	0.05326	0	0	0	0	0	0.0462	0	0.3496	0.21784	0	0	0	0	0	0	0	0.24139
hf213	0.06396	0	0	0	0.06487	0	0	0	0.03433	0	0.02308	0	0.49265	0	0	0	0	0	0	0	0	0.32111
hf216	0.08679	0	0	0	0.04636	0	0	0	0	0	0.01806	0	0.21275	0.21601	0	0	0	0	0	0	0	0.42002
hf217	0.09203	0	0	0	0.07416	0	0	0	0	0	0.0195	0	0.22973	0.18122	0	0	0	0	0	0	0	0.40335
hf225	0.06381	0	0	0	0.05213	0	0	0	0	0.02711	0.01908	0	0.28433	0.19384	0	0	0	0	0	0	0	0.3597
hf230	0.25923	0	0	0.06207	0.09612	0	0	0	0	0	0.11736	0	0.17686	0	0	0	0	0	0	0	0	0.28837
hf231	0.05096	0	0	0	0.08275	0	0	0	0	0.00546	0.03279	0	0.27788	0.0655	0	0	0	0	0	0	0	0.48466
hf236	0.13202	0	0	0.01773	0.12118	0	0	0	0.10107	0	0.03034	0	0.16908	0	0	0	0	0	0	0	0	0.42859
hf240	0.07516	0	0	0	0.1087	0	0	0	0.09259	0	0.00625	0	0.25523	0	0	0	0	0	0	0	0	0.46207
hf241	0.13848	0	0	0	0.02265	0	0	0	0.06628	0	0.02022	0	0.09789	0.28679	0	0	0	0	0	0	0	0.36769
hf244	0.07166	0	0	0	0.02737	0	0	0	0	0.0383	0.03216	0	0.21864	0.1979	0	0	0	0	0	0	0	0.41397
hf246	0.04288	0.02964	0	0.13001	0.06779	0	0	0	0.01832	0	0.09768	0	0.28599	0.02275	0	0	0	0	0	0	0	0.30493
hf258	0.05423	0	6.00E-04	0	0.00809	0	0	0	0	0.03007	0.05972	0	0.22158	0.22573	0	0	0	0	0	0	0	0.39998
hf265	0.1528	0	0	0.05726	0.03655	0	0	0	0.09413	0	0.03976	0	0.26231	0.12513	0	0	0	0	0	0	0	0.23206
hf270	0.05586	0	0	0	0.13498	0	0	0	0	0.02467	0.01162	0	0.26226	0.15532	0	0	0	0	0	0	0	0.35529
hf274	0.01433	0	0.00089	0	0.061	0	0	0	0	0	0.07107	0	0.20477	0.03181	0	0	0	0	0	0	0	0.61614
hf275	0.04246	0	3.00E-04	0	0.0374	0	0	0	0	0	0.02149	0	0.25198	0.30511	0	0	0	0	0	0	0	0.34126
hf286	0.10825	0	0	0	0.01463	0	0	0	0	0	0.05366	0	0.22974	0.24628	0	0	0	0	0.01152	0	0	0.33591
hf287	0.07071	0	0	0	0.02171	0	0	0	0	0.00182	0.01385	0	0.05731	0.24802	0	0	0	0	0	0	0	0.58657
hf292	0.08203	0	0	0	0.14721	0	0	0	0	0	0.06671	0	0.26558	0	0	0	0	0	0	0	0	0.43846
hf295	0.04711	0	0	0	0.017	0	0	0	0	0	0.02529	0	0.23701	0.21161	0	0	0	0	0	0	0	0.462
hf296	0.02523	0	0	0	0.02753	0	0	0	0	0.03359	0.0213	0	0.29443	0.17312	0	0	0	0	0	0	0	0.4248
hf301	0.07193	0	0.00113	0.0256	0	0	0	0	0	0	0.10181	0	0.33583	0.31727	0	0	0	0	0.01274	0	0	0.1337
hf304	0.09397	0	0	0	0.07709	0	0	0	0	0	0.01831	0	0.19412	0.12093	0	0	0	0	0	0	0	0.49558
hf310	0.02729	0	0	0	0.13855	0	0	0	0	0	0.0441	0	0.19938	0	0	0	0	0	0	0	0	0.59068
hf311	0.03365	0	0	0	0.03562	0	0	0	0	0.05685	0.07865	0	0.38628	0.06165	0	0	0	0	0	0	0	0.34731
hf314	0.07057	0	0	0	0.01528	0	0	0	0	0.03869	0.00019	0	0.22249	0.22614	0	0	0	0	0	0	0	0.42664
hf317	0.08173	0	0	0	0.10216	0	0	0	0	0	0.25234	0	0.01204	0	0	0	0	0	0	0	0	0.55173
hf319	0.07713	0	0	0.0503	0.0687	0	0	0	0	0	0.06094	0	0.23105	0.21414	0	0	0	0	0	0	0	0.29774
hf325	0.12967	0.029	0	0	0.11062	0	0	0	0.15336	0	0.00904	0	0.19439	0.09327	0	0	0	0	0	0	0	0.28065
hf327	0.05467	0	0.00859	0	0.03135	0	0	0	0	0	0.11388	0	0.17657	0.12615	0	0	0	0	0.02848	0	0	0.46031
hf330	0.06484	0	0	0	0.06569	0	0	0	0.01047	0	0.03216	0	0.27852	0.13461	0	0	0	0	0	0	0	0.41371
hf346	0.07642	0	0	0	0	0	0	0	0	0.03108	0.02545	0	0.1698	0.28477	0	0	0	0	0	0	0	0.41248
hf348	0.06247	0	0	0	0.0646	0	0	0	0	0.05276	0.02771	0	0.23181	0	0	0	0	0	0	0	0	0.56065
