	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
hf274	0	0	0.0097	0	0.0297	0.0097	0.0194	0	0	0	0.1353	0	0.0627	0.032	0.0571	0.0649	0	0	0.0519	0.0148	0	0.5127
hf275	0.0044	0	0.0238	0	0.0765	0	0.0536	0.005	0	0	0.0361	0	0.0503	0.0701	0.0108	0.071	0	0	0.0326	0.0387	0.0174	0.5097
hf286	0	0.1323	0	0	0.0403	0	0.0258	0	0.0097	0	0.1046	0	0.0269	0.0786	0.035	0.0262	0	0	0.1254	0.0419	0	0.3532
hf287	0	0	0	0	0.048	0	0	0	0	0	0.0658	0	0	0.0354	0	0.0778	0	0	0	0.0693	0.0495	0.6542
hf292	0.0166	0.0049	0	0	0.1794	0	0.0294	0	0.041	0	0.0933	0	0.1874	0.0125	0.0356	0.0489	0	0	0.0456	0	0	0.3053
hf295	0	0	0	0	0.0682	0	0	0	0	0	0.0699	0	0.0867	0.0978	0.039	0.0555	0	0	0.0364	0.0346	0.0141	0.4978
hf296	0	0	0	0	0.0196	0.0318	0.0015	0	0.0059	0	0.0776	0	0.2038	0.0748	0.0111	0.0108	0	0	0	0.0299	0	0.5332
hf301	0	0.0223	0.0191	0	0.0792	0	0.0154	0.006	0	0	0.1934	0	0.1393	0.089	0.011	0.0396	0	0	0.0631	0.0696	0.0569	0.1963
hf304	0	0	0.013	0	0.1036	0.0118	0.0135	0	0.0086	0	0.0604	0	0.0726	0.0628	0.0087	0.111	0	0	0.0213	8.00E-04	0	0.5117
hf310	0	0	0	0	0.0811	0.0553	0.0146	0	0.0344	0	0.0347	0.0151	0.0658	0.0329	0	0.083	0	0	0.0249	0	0	0.5583
hf311	0	0	0.0406	0	0.0867	0	0.0105	0.0013	0	0	0.139	0.0049	0.2018	0.0468	0.0983	0.0683	0	0	0.0063	0.0176	0.0212	0.2567
hf314	0	0	0	0	0.0186	0	0	0	0	0	0.0502	0	0.067	0.1392	0	0.0359	0	0	0	0.0174	0.0464	0.6253
hf317	0	0	0	0	0.0995	0	0.0077	0.0351	0.0039	0	0.3394	0	0	0.0065	0.0356	0.067	0	0	0	0	0	0.4053
hf319	0.0175	0.0524	0.0053	0.0149	0.045	0.1816	0.0285	0	0.0205	0	0.0874	0	0.1764	0.0363	0.0152	0.0114	0	0	0	0.0622	0	0.2454
hf325	0.0212	0.0822	0	0	0.1231	0.1304	0	0.0201	0.0344	0	0.0766	0.0179	0.0215	0.0549	0.1262	0.1221	0	0	0	0	0	0.1692
hf327	0	0	0	0	0.0698	0	0	0	0.0213	0	0.1744	0	0.0312	0	0.0074	0.022	0	0	0.0198	0.1633	3.00E-04	0.4905
hf330	0	0	0	0	0.0999	0.0017	0	0	0	0	0.0868	0	0.0868	0.0626	0.0178	0.1112	0	0	0	0	0.0408	0.4924
hf346	0	0	0	0	0.0185	0	0	0	0	0	0.0748	0	0.1027	0.1925	0.0484	0.0755	0	0	0	0.0411	0.0227	0.4238
hf348	0	0	0	0	0.098	0	0	0.0116	0	0	0.0696	0.0065	0.1562	0.0151	0.1057	0.0548	0	0	0.0202	0	0	0.4623
