	104.CEL	105.CEL	109.CEL	115.CEL	121.CEL	123.CEL	127.CEL	82.CEL	94.CEL	95.CEL	96.CEL	97.CEL	C13.CEL	C8.CEL	C9.CEL
EIF4G2	7.164163761	7.83366865	7.032300996	7.338112095	7.225307104	6.928419289	7.248422261	7.859355741	8.171826471	8.299974192	7.835755867	6.908247954	7.535046027	6.571399763	6.368448408
EIF3D	7.178742777	7.866220802	7.677484608	7.423848187	7.137733842	7.442821638	6.808580545	7.853741682	8.024024535	7.487158737	8.251839634	6.735773143	7.937102131	7.237896577	7.257338563
PARK7	7.178068681	7.710897558	7.176544008	7.171175209	6.705500629	7.024517304	6.673162551	7.799859303	8.529527487	7.738519405	7.685591492	6.491602001	7.352513579	6.493222495	6.638276484
SRP14	8.474631592	8.453167301	7.966484594	8.287015246	8.085514986	8.104575	8.17738857	9.139138952	9.129743579	9.153228079	8.710788396	8.417003528	8.574978717	8.15171904	7.458958127
GDI2	6.097498592	6.297681301	5.467619887	6.047276856	5.450825181	5.703148072	5.8010152	6.321816514	6.884348142	5.906257957	6.573252529	5.531863961	6.197555954	5.278994879	5.010788168
GDI2	8.104120666	8.75102941	8.268377789	8.697932436	8.417359631	8.736315472	8.053155167	8.59729081	8.910164774	8.885639027	8.749803887	7.292885747	8.401383125	7.515768137	7.182366323
RPL11	8.232798935	8.123913492	8.329043451	7.816919519	7.219447364	7.124748284	8.027654241	7.727808114	9.106522915	8.147390742	8.931407579	7.77994654	9.324043971	8.984245941	8.259059494
ARF3	5.858344995	6.804484627	6.082974109	5.365158305	5.987877717	5.58618707	6.00017011	7.327168971	5.962983927	6.223219176	6.513341031	5.962983927	5.9608237	5.24494965	5.715311384
RPL21P16	10.56402447	9.294238758	9.421773211	10.28451313	9.634077737	9.499891329	10.11302827	9.24029949	10.32277558	9.885441766	9.908481634	10.47333248	10.8912766	10.88637793	9.680087803
RPL24P4	8.729094145	8.512341645	8.579411284	8.78383639	8.065934781	7.978819368	7.932375779	8.211171205	9.869121714	8.634392341	9.158323569	7.351547075	9.150559335	9.138003924	8.190658399
HNRNPCP2	6.718893139	7.124432684	6.143587271	7.148514835	6.502670874	7.106698691	6.851515747	7.367059055	7.49275115	7.345117935	7.150938867	6.278190119	6.845510043	6.435843567	6.052294983
SEPTIN2	7.037710326	7.492536761	7.02802841	6.882812002	6.801872385	6.613604129	6.632832405	7.105312701	7.728933332	7.143932139	7.543510144	6.554197432	7.323751096	6.860521893	6.879575881
HNRNPA1	8.364713366	8.744830241	8.839228779	8.723689268	8.137704442	8.080242652	7.31034229	8.230044466	9.425095817	8.044861106	9.07001836	7.469902075	9.488233453	9.082148925	8.750759101
RPS27A	8.16513396	8.166096213	8.017207172	8.01826165	7.618025553	7.982853989	7.144720363	7.976051209	8.98969964	8.680245668	8.930130748	7.616540573	9.337604297	9.013405113	8.611446805
PIK3C2A	10.16531927	10.16503202	10.06738244	10.06281509	9.849657251	10.06878812	9.206288048	9.263273052	10.85059077	10.26210707	10.61787507	9.569886888	10.88807765	10.86006415	10.74046584
FAU	9.358225562	9.337179251	9.603477586	9.569307691	9.180149073	9.017143414	8.817722182	8.825256197	10.22374907	9.593694869	10.14602754	8.423461085	9.358225562	9.767435753	9.376386779
TARDBP	5.784602612	6.270165494	5.811568724	5.72370785	5.458434072	5.125682243	5.272301176	5.940797842	6.912475841	6.103099199	6.392110253	5.375152327	5.778775565	5.161192892	5.229303829
CFL1	11.4883785	11.49315323	11.47086219	11.52905779	11.60018838	11.10162115	11.48291963	11.51844394	10.69872722	11.1474535	11.2207521	11.37948081	10.98701052	10.80760756	11.32451566
RPL18	9.147156595	9.913884256	10.02714871	9.438234904	9.289539716	9.069125767	8.369503018	8.91312504	10.02614186	9.326277898	10.17229684	8.187401492	9.923716933	9.744163345	9.812785142
EIF3FP3	8.045953289	8.645313388	8.290910739	8.295286953	7.773823148	7.516767016	7.23705201	7.98170439	8.877290683	8.308624236	9.041824892	7.481510427	9.042380386	8.636777345	8.403602892
RPS5	9.279638749	10.00848838	10.23822138	9.791559922	9.687275599	9.256258082	8.517126592	8.833879698	10.64108127	9.536162587	10.55687975	8.523196704	10.20148748	10.38613386	10.02257043
RPL27	9.711142065	9.520249024	9.713888339	10.04959015	9.719344791	9.401091334	8.757866046	9.424688675	10.16256639	10.22660484	10.30095198	8.455996006	10.3535479	10.24312745	9.629869526
RPL34	8.69173692	7.400537239	8.694972194	9.41802473	8.36272688	8.710515148	7.88993217	7.354820722	9.269931416	9.18950761	8.852798037	7.753138323	9.217179332	9.357338302	8.181033241
NARS1	5.558828557	5.870828315	5.271410655	5.261737426	4.259436108	5.466148482	4.645880903	5.94393396	7.13061306	6.060434852	6.724472302	4.565099399	6.143104853	5.312238591	5.242434885
STARD7	6.231925887	6.729821083	6.323756927	6.45429599	6.055979419	5.909282197	5.476234702	6.193542974	7.350711813	6.537627286	7.212159296	5.448305068	6.699746533	5.983331046	5.903033917
RPL19	10.1755809	10.21159486	10.66124984	10.35514049	10.07102876	9.704260123	9.448994178	9.480766616	10.59592855	10.15631754	10.94468645	9.131388462	10.47661564	10.67158378	10.36390711
SLC25A3	7.979917758	8.060040904	8.296338204	7.761255968	7.872240499	7.670997956	7.429054522	8.209252551	9.082682377	7.439779377	8.535171281	7.179465354	8.302027867	7.660510354	7.94828848
RPS11	10.99802717	11.07235271	10.99254883	10.86014829	10.62464116	10.58746105	10.26986131	10.1834354	11.08775148	10.93581106	11.11153489	10.64227286	11.19517923	11.21034107	11.06873861
APOO	9.148152238	8.389136457	8.928018341	9.644338003	8.832720836	9.046011605	8.594192821	8.439354968	9.944582731	9.455550265	9.448971722	8.45692697	10.1389816	9.75460025	8.770781413
DDX5	7.726630622	8.723144865	7.334431768	7.80564546	6.95402224	8.008219025	7.119711178	8.210875357	8.417318364	8.417647112	8.649856645	7.497192539	8.780760644	7.838949873	7.698375562
RPL6	7.932290972	8.709870355	8.885652049	8.414613342	7.898327793	7.793968579	7.147280246	8.553865658	9.758510322	8.897127554	9.809612443	7.481018182	8.926094084	8.846851278	8.229678743
CTDNEP1	5.991625315	6.150764624	6.088132237	5.777419738	6.174968308	5.415305056	5.980137872	6.281953582	6.64178185	5.980137872	6.373011987	5.33953785	5.710989525	5.333107684	5.666417456
RPL10A	8.15379103	8.790887862	9.036922183	8.650268304	8.274597298	7.486690608	6.930250067	7.705117197	9.384539984	8.50650124	9.551962243	6.818382118	9.292217328	9.202139733	9.007379263
CBX3	5.48280985	5.429334742	5.019595448	5.053989594	4.805334699	5.189023612	4.98419007	6.507458523	6.364726322	5.784538872	5.494724638	4.750150758	5.900194708	4.782638205	4.849848396
SRP72P1	9.284751938	8.171961325	8.982766834	9.755155842	8.389883518	8.703256955	7.981074086	8.053113051	10.12311306	9.354788479	9.376506323	8.167243929	9.868758249	9.735056463	8.362084681
PSMB2	6.944532101	7.440351223	6.612887663	6.565122924	6.221388678	5.802430742	6.194404946	6.801193517	8.483775305	7.380860376	7.656682421	6.617820993	6.567371895	6.091363111	6.211398829
KHDRBS1	5.902241162	6.349353312	5.841107998	6.133618822	5.663278803	6.320635878	5.635332673	6.320074455	6.993092776	5.898824295	7.148444279	5.749984548	6.845806955	5.979322167	6.122155397
RTCB	5.572500584	5.978469715	5.621528401	5.473315308	5.470202448	5.280927206	4.805334347	6.032582664	6.711894796	5.94758523	6.382134156	5.169732148	6.180306369	5.532633874	5.621528401
ERH	5.744509644	5.961872394	5.277982037	5.98036949	5.465600603	4.637312427	5.536364656	6.194142252	6.852591094	5.836060495	6.431184698	5.667161174	6.130923495	5.62757187	5.175791025
SRSF9	5.550096727	6.573780491	5.560002969	5.785534366	5.9051351	5.565742161	5.647959298	6.288845738	6.97682309	6.188502691	6.241913158	5.728701443	5.745648194	5.434285617	5.451968536
ABCF1	5.330210465	5.950217727	5.5033849	5.094732192	5.474276587	4.735389488	5.320913933	5.5033849	6.301399004	5.5033849	6.092103179	5.539790572	5.531993083	5.552536849	5.742282095
DAD1	6.74622102	7.269937972	6.66114108	6.666008451	6.566135103	5.83577509	6.773280113	7.257465095	8.293112989	6.954259928	7.193900991	6.428985172	6.855227316	6.27188097	6.392860308
MIR6764	6.062182199	6.343358045	5.647663771	6.264208286	5.68481535	5.979519291	5.794112816	6.319931372	7.034906806	6.728361516	6.302517328	5.059304546	6.579991075	5.687235773	5.241088187
AL358472.6	7.783296006	8.461061294	7.720265985	7.89026328	7.849825007	7.662809061	7.69315332	8.346625916	8.503059365	8.603053114	8.488545006	7.384067346	7.772961982	7.2029912	7.408216771
AL137845.2	4.479163488	5.111292809	4.797891383	4.45411642	4.567492182	4.831593529	4.590937245	4.693948681	4.693948681	4.510364665	4.724891132	4.830880362	4.770370559	4.94600917	5.041510804
ZNF146	3.553249552	3.553249552	3.368677837	3.664214053	3.390634186	3.553249552	3.729945646	3.24153866	4.759349309	3.535338113	3.914221479	2.940403631	4.964238764	3.701578127	3.595477954
SART1	4.588617771	5.113141417	4.920676734	4.335916559	5.006356832	4.22688905	4.749896912	5.911911289	5.054326171	5.020075746	5.261218037	4.557889649	4.061199458	3.935763668	4.186874717
ILF2	4.442018325	5.340327184	4.359367307	4.325717794	3.388693286	3.52176334	3.479202808	4.957730502	6.793007297	4.724158484	5.930551306	3.791125266	5.085689023	4.12844328	3.869750092
SPAG7	6.440286897	6.209408576	6.392541217	6.451570167	6.441292849	6.287820912	6.45542825	6.629927198	6.893745692	6.327665835	7.386934371	6.180889349	6.417009493	6.524772292	6.441292849
ZPR1	5.069825744	4.659463176	4.93017361	4.659463176	4.469730648	4.030808674	4.742336894	4.431170495	5.307855898	4.626616602	5.143508208	4.446718449	4.429190101	4.544498304	4.442179602
TAF10	8.024700625	8.438586057	8.211266	7.875546367	8.150042479	7.320824876	8.075123481	8.406480637	8.035812072	8.342428383	8.322145329	7.673359501	7.69752301	7.612326694	7.734373839
C1DP1	3.20798655	3.278636857	2.454875087	3.460939375	2.592036623	3.20798655	2.957791624	3.571398913	4.46231239	4.055710897	2.947757655	2.969983073	3.518629829	3.12993608	2.51291304
AC092115.2	7.852490817	8.563331578	8.45043225	7.879499625	7.617775436	8.049170435	7.46151891	8.044737246	8.814400498	8.215093272	8.977880241	7.323800805	8.429789262	7.914820999	7.866635397
SNRNP200	5.287006389	6.167494447	5.638810581	5.028003282	5.177111674	5.150094447	5.257145104	6.287694445	6.183326059	5.515388077	6.499570084	4.932553888	6.068531573	5.134749207	5.284349059
RHOA	9.075527887	9.336011211	8.620190989	9.023018162	9.165171862	9.151720856	9.168284508	9.816107079	8.830313963	9.396089117	9.002797788	8.481113533	8.888521544	8.246972368	8.117171587
RNPS1	5.78916575	6.593954175	5.934765406	5.475882115	5.325048401	5.349984941	5.225384799	5.813151861	6.729552168	5.786853172	6.763215365	5.290887652	6.241740301	5.575363281	6.045678888
RPS24	9.350332521	7.964661247	8.479275264	8.893262923	8.06435908	8.343962159	8.337356225	7.865921557	9.924514208	8.944336964	9.345516003	8.487882526	9.375520796	9.29357797	7.370252878
RPL30	10.47661759	9.898809494	10.06029801	10.33105741	9.910923688	9.742211964	9.771619342	9.40645154	10.5089892	10.06097174	10.38936655	9.495237074	10.78592932	10.81844787	10.40685963
AC007068.1	6.199537404	7.308088884	6.732988975	6.768761401	5.927844217	6.011647732	4.749585148	6.472337804	8.533753333	6.849936562	8.154024818	5.470950779	7.699986832	6.741250305	6.816524795
HSP90AB1	7.890986613	8.63975151	8.680226359	8.042945135	7.142410433	5.786565035	7.554485877	7.208972823	9.268587441	9.66823249	8.619439045	8.117579433	7.792934295	7.154313103	7.46863706
ARF1	8.553033199	8.965518487	8.349402172	8.256911024	8.680046252	7.920025108	8.699842429	8.919600299	8.804912301	8.76016277	8.577424301	8.445849764	8.062864878	7.350865878	8.031853425
IK	6.042669855	6.564952885	6.461275233	6.213014606	6.15644133	5.69003246	6.01926378	6.783658899	6.4543815	6.184962224	6.721998207	5.630001609	6.174313263	5.629256295	5.732960206
SNX3	8.199475672	8.300380998	7.578279051	8.329611596	7.990111588	6.868325162	8.221313887	8.216059912	7.790267915	8.533636546	7.098944825	8.120068776	7.129772772	6.412223871	6.335588076
CANX	7.377662878	7.668451057	7.459674909	7.420741818	6.994843617	6.785194517	7.053275335	7.40069846	9.067020259	7.868393478	7.787302578	7.276086009	7.789921387	7.437479278	6.753083481
SART3	3.3604126	3.328769315	2.819966013	3.044988689	2.946992774	3.062147665	2.662515519	3.174593521	4.160883093	3.037660121	3.618231759	2.825930548	3.528504056	3.049378813	3.072660882
CNPPD1	5.756279692	5.024233885	4.797891383	5.381473643	5.139058089	4.379845629	5.662516083	5.168828549	4.977673377	5.167203296	4.981308836	5.562102091	5.757001205	4.981865251	5.369426067
SMNDC1	4.144865867	4.28287168	3.484202032	3.95993391	3.548698906	4.433940655	3.95993391	4.612023368	4.978947357	5.112887214	3.933956024	3.058529889	4.4988523	3.838343507	3.128657636
HNRNPM	6.244487556	7.179866497	6.87312722	6.345276827	6.419943689	4.928594806	6.299369251	6.542690179	7.430749157	6.28146633	7.482292579	5.747272692	6.163512341	5.709076394	5.632452588
HNRNPD	5.017541321	6.419038017	5.524025972	5.470444936	5.11716082	4.935358362	4.828921395	6.215654819	7.017041716	5.412182896	6.779394613	4.633542001	5.642302871	5.024325744	5.087589272
RPL14P1	7.726630356	8.757269509	8.646771767	8.335884861	8.035749481	7.248917595	6.881018012	7.650510827	8.915748493	8.315452488	9.314235872	6.535569252	8.791871713	8.448947169	8.255848879
GUK1	7.76586355	8.098495274	7.830551911	7.258876801	7.518525399	7.708098413	7.949011872	7.557640993	7.239844034	7.153486452	6.954862608	7.181247159	7.994311	8.241548495	7.740941957
KXD1	5.996964175	6.2001174	6.084312077	5.67454421	5.9608237	5.99564877	5.93482474	6.288439364	5.920332784	5.996964175	6.343498158	5.973732396	6.24840937	5.871832308	6.237489814
OAZ1	10.98117307	10.98986489	10.81337482	11.14294018	11.19766153	10.84356853	10.96674009	11.07561637	10.2812146	11.08331106	10.26287819	10.92901036	11.13271664	10.96674009	10.96674009
ATP6V0B	7.581182519	7.856200537	7.689772837	8.08134094	7.820757501	7.958425687	8.040400896	8.344161505	7.843425091	8.038996359	7.758954257	7.504976583	6.900450649	7.36798387	6.81376582
KARS1	6.622929118	6.811324926	6.808685486	6.002150448	5.749106282	5.307815989	5.813706756	6.797509338	7.342200713	6.995538874	7.564064118	6.184187319	6.792017364	6.039804117	6.135609707
H3P16	10.03931956	10.23912041	9.991129258	10.27775504	10.23894074	10.83122718	9.980256191	10.66810002	9.731418831	10.50005112	9.652187248	10.13539367	10.31017968	10.03024267	9.679553419
NDUFA5P3	7.980762128	7.943283268	8.12650901	8.535002071	7.760721514	7.578179465	6.760258717	7.18875565	9.257253212	8.083068539	8.84762359	7.246134806	8.98370923	8.933680075	8.38372082
RPS7P11	7.909673535	7.401777815	7.896607704	8.775753855	7.753725794	8.259419666	6.900064928	7.506090912	9.65682145	8.749829923	9.026743165	7.194161801	8.432674534	8.274629746	6.677583354
USP22	6.195732642	6.898103237	6.404191095	5.650399018	6.050159322	5.355733979	6.283723462	6.982442365	6.246370887	6.433974372	6.406202213	6.093962436	6.017598336	5.271738107	5.661870731
AL109766.1	5.847887114	6.099937689	5.007074892	5.772173747	4.88713895	4.88946683	5.0933894	5.577391697	7.316557309	6.165376679	6.083187863	5.413592659	6.426949098	4.886148257	5.190772041
ELOB	8.415624988	8.080295957	8.365524553	8.500859857	8.699537391	8.130184702	8.284178822	8.36212315	8.668589931	8.532232384	8.620057674	7.955665186	8.566406009	8.203130019	8.260635126
COX4I1	7.026503556	7.738987836	7.864292461	7.679648791	7.49178425	7.449701012	6.872056725	7.849623497	8.365602363	8.025171395	8.506940061	7.081781012	8.254819721	7.584507987	7.335379647
TMED2	5.816387775	6.539218024	5.736156059	6.566105255	5.97402969	6.287573559	5.666270095	6.477120446	8.454417754	6.651322374	6.618814715	5.816127541	6.496879264	5.480981472	5.365785869
RPL12	10.47754121	10.30824362	10.74721674	10.35473292	9.712633193	9.923357929	9.643231785	9.470606309	10.83063062	10.15303013	10.94079011	9.801681873	10.81860698	10.86202595	10.62081867
RPL4P5	7.417326063	7.955291494	7.920530702	7.804596577	7.566346525	7.438671011	6.825612673	7.669160037	8.76983887	7.867132116	8.872113118	6.51616993	8.332998239	7.731416151	7.456092428
FNTA	6.316895754	6.395792007	6.062182199	6.485340048	6.135564995	6.161974074	6.071853691	6.316895754	6.736967523	6.786842036	6.681742585	5.876950804	6.941116813	6.213065757	6.195717702
RPS25	7.451316135	7.894815197	7.610304614	7.513973883	6.898610303	6.789966913	6.723844133	7.746314639	8.566663496	7.787657075	8.637295494	7.124315741	8.643165501	8.395429033	7.451316135
RPL37	9.641941187	9.926248461	9.881677119	9.903633159	9.632701417	9.697471368	8.682943573	9.142327828	10.38922424	10.25405614	10.24225862	9.060653199	10.47808951	10.44323669	10.02280074
HINT1	5.003955655	4.689010422	4.84875512	5.639491917	4.709902354	4.375417326	3.896715806	4.685305954	6.96312759	6.34701032	6.196767048	4.340687624	5.653025659	5.025529831	4.480230238
EEF2	8.713421616	9.264955783	9.474036847	8.600552736	8.78065631	8.624131716	8.231407571	8.992134297	9.22833069	8.938382132	9.687192764	8.088030262	9.526184957	9.033138083	9.342123465
RPS10	10.07188081	10.03747272	10.50659073	10.72488682	10.31678247	9.979318676	9.681892194	9.476825386	10.68195295	10.13791606	10.67378639	9.238882035	10.33079737	10.89670987	10.39587159
ATP6V0E1	7.856420112	8.29406148	7.487972325	7.945475839	8.234877828	8.327805932	8.17317492	9.571510218	7.495845447	8.650279861	8.05843629	7.884256606	7.478422884	7.431972567	7.178256739
HNRNPK	5.069825744	5.852698229	4.86656468	5.414652958	4.742174517	5.870409688	4.839893531	5.919567133	5.689126167	5.898287616	5.874111713	5.116291917	5.854406424	5.024592678	4.908554387
ANAPC5	6.233477478	7.416662778	6.573281521	6.223528124	5.943708275	5.334046104	5.651112986	6.900697743	8.095664221	6.372148473	7.377569156	5.361842229	7.046638313	6.183616441	6.436483596
RPS3AP6	9.911867176	8.8827664	9.597850061	10.5773022	9.777695514	10.19917607	9.010388099	9.173811772	10.75193871	10.39539547	9.754695026	9.066032131	10.89729943	10.79931989	8.806884026
HNRNPU	5.691567757	6.32318518	5.688567892	5.691567757	5.673823841	5.368516387	5.691567757	6.596137617	6.161445011	5.546304038	6.261971657	5.608072071	5.534576441	5.256467898	5.409535426
HNRNPU	7.558383137	8.193042992	7.211312127	7.169922826	6.734818018	6.738706875	7.533850821	8.025022156	8.200039164	7.705416559	7.856318002	6.868526972	7.888139345	6.648697731	6.729727352
EIF3A	4.048438157	4.205646677	3.358391866	3.774278745	2.867316924	4.06920394	3.166953109	4.489629484	6.063764682	4.90964554	4.725536961	2.892834746	5.093883456	4.018274384	3.159323231
EIF3A	5.596501935	6.199517953	5.458272347	5.723049103	5.552998287	5.723019072	5.292831307	6.161347244	6.615872684	5.226683687	6.777832533	5.026597589	5.667858116	5.339096264	5.294064865
EIF3A	2.186359108	2.045925386	2.079032525	2.070154426	1.785006011	1.93345323	1.913254946	2.021643336	2.279091113	2.309023021	2.099640248	1.807333663	2.49049088	2.081316962	1.950156955
HSP90B1	5.149572334	6.412708111	4.617545652	5.540310035	4.482865202	4.208096555	4.603217138	5.158903895	8.382777336	5.597892711	5.556197055	5.65249008	5.567719148	4.051989192	3.809332772
HSP90B1	7.305108403	8.121471164	6.764284474	7.674714834	6.767846209	6.566593986	6.640082961	6.98645798	9.92052294	7.896128824	7.40891571	7.617478179	7.959324684	6.37869804	6.300537336
MSN	7.457756162	8.45197458	7.698352986	7.151207721	7.714443369	7.676371802	8.122853598	9.142333789	7.372303134	8.371256644	7.954391776	7.323454119	7.772493624	6.310988044	7.016326169
ACTN4	5.38929698	6.039977286	6.13002295	5.608446041	5.615349848	5.676107737	5.97861825	6.343088455	5.542504234	5.813151861	5.905613474	5.809842216	5.399951002	5.33815082	5.61424974
APP	1.708640914	2.787368578	1.798931568	1.375447779	1.708640914	1.716392315	1.708640914	2.551995072	1.294746285	2.042972065	2.005520005	1.544407476	1.503491336	1.471175714	1.700692558
PRKAR1A	6.62707179	7.061572092	5.803326502	6.526110179	6.538403221	6.974553802	6.808480962	7.315398407	7.149125218	7.667010893	6.129728079	6.344617088	7.078881305	5.992111975	5.288278601
PRKAR1A	5.30940613	6.247826134	4.921874935	5.238221368	5.479668589	4.847865272	6.018463774	6.627183196	5.657720084	6.105334837	4.780617373	4.890664362	4.662708798	4.15584629	4.392488313
PRKAR1A	6.891645148	7.541712619	6.151837431	6.988615924	7.087793735	7.248548864	7.19436151	7.491936752	7.396879892	7.574215463	6.451041576	6.905363813	7.416663571	6.086752424	5.810369025
DSP	1.949696353	2.018074348	2.018074348	2.241968589	2.018074348	2.201330803	1.868826052	1.84745097	1.938564764	1.793735187	1.68657568	2.097761601	2.240653671	2.418153696	2.160011609
RAD21	4.342521679	5.73537552	4.27625942	4.694944013	4.043486587	4.940773235	4.833885037	5.772381919	5.159541974	4.704322533	4.940932372	4.202024556	4.807582875	4.146794309	4.596985564
RAD21	3.751952959	4.490872572	3.391524403	4.034409066	3.439876274	4.528910098	3.811553106	4.78471723	5.248204001	5.114009976	4.299789613	3.659871853	4.896751855	3.577145284	3.180314188
WDR1	7.834442922	8.294941057	7.864661146	7.554726972	7.999675155	7.376471761	7.709521509	7.925438533	7.06211439	8.12545411	7.927793974	7.329472609	7.497799127	6.791618794	7.139635001
NCL	5.941384046	7.138701212	6.596718544	6.153607736	5.901373487	5.580753149	5.790595553	6.111464295	7.914803064	6.199989541	7.203907202	6.049785845	6.762550997	6.016386914	6.52948329
WDR1	8.018766521	8.533686611	8.437000356	7.968648372	8.217682531	7.578188677	7.85827795	8.49923513	7.859288509	8.354801701	8.269290117	7.459367145	7.671384786	6.933086324	7.403836934
AP2B1	4.825951197	5.676570827	4.492543663	4.623629993	4.524255123	4.704543201	4.82377397	5.631965818	3.930191437	5.036961765	5.102700036	4.545054578	5.149069634	5.075255809	4.814700923
AP2M1	6.147881413	7.163657153	6.758637373	6.523717972	6.617940994	6.252988145	6.485992746	6.993579464	6.794084746	6.649640638	7.070269113	6.209851027	6.728291374	5.782647899	6.257745538
CLTC	7.54984885	7.802656118	7.522931777	7.553833217	7.788399345	7.47236972	7.731349246	8.042594567	7.790512346	7.910968955	7.874380668	6.609140831	7.006114205	6.24733611	5.943700997
AP2B1	5.595308774	6.425097647	5.123074628	5.328664021	5.585728139	4.390394912	5.632624352	6.138240069	5.944358472	5.65657803	5.096212518	5.52787019	5.039742987	4.296555899	4.873744079
MLEC	4.225657076	5.518868209	4.681386441	4.803412827	4.760574077	4.204018506	4.48922793	4.535052661	6.936188286	4.579563607	5.422843255	4.49552605	4.404970987	4.188302408	3.862528784
MLEC	4.730105039	5.228298928	5.460881351	5.109605531	5.277696987	5.042228464	4.491282827	4.956045626	6.580999933	5.564593528	5.740147049	5.189632115	4.774418616	4.941486853	4.93309983
