	104.CEL	105.CEL	109.CEL	115.CEL	121.CEL	123.CEL	127.CEL	82.CEL	94.CEL	95.CEL	96.CEL	97.CEL	C13.CEL	C8.CEL	C9.CEL
DDR1	4.692750831	4.458071975	4.763008018	4.821476471	4.746384887	4.717313856	4.53303419	4.292524743	4.293424823	4.627334159	4.503109628	4.94282349	4.730567568	5.05533052	5.04443241
RFC2	2.861480452	2.957354153	2.772516413	2.85415371	2.835675448	2.755959258	2.724906381	2.929270499	3.263007392	2.576192589	2.997884152	2.632479777	2.811669621	2.635103495	2.766704285
FCGR2A	5.346638577	5.904481019	5.388608898	5.667098486	5.41670051	7.084571623	5.781999763	6.522988402	4.511601974	7.399660455	5.479867755	5.766381357	5.613121476	5.594651095	5.451469823
PAX8	6.481373196	6.005402815	6.2276751	6.362606493	6.522713832	6.490130678	6.458659291	5.890680195	6.123152189	6.209719422	5.86734619	6.519945453	6.631529816	7.119726164	6.912582895
GUCA1A	1.586189152	1.463898961	1.701032702	1.74872677	1.753806649	1.687488009	1.665134147	1.61598947	1.461147647	1.554354733	1.526228987	1.750968424	1.729529815	1.897901903	1.878260186
UBA7	5.090093083	5.957604485	5.453697985	5.057231487	5.360198355	4.879525106	4.946646629	6.081950207	5.092735476	5.842182004	5.801512206	5.259031103	5.310067693	4.822399657	5.297287925
THRA	4.259983567	4.047414775	4.331772791	4.332404817	4.448468521	4.687645556	4.325253153	4.195311678	3.884204639	4.273366257	4.075468181	4.479222793	4.287349852	4.447828745	4.784634049
PTPN21	1.896764556	1.730039258	2.096637042	2.272117738	2.174953642	1.850671443	2.065001319	1.901745291	1.971297032	2.001023662	1.796665054	2.209266444	2.099206577	2.377996901	2.16312026
CCL5	6.086887939	6.047394572	5.74138699	5.899487843	5.515812847	5.050044789	4.809200043	5.576734954	5.733973003	6.569535874	7.081252412	6.050808679	7.261418846	6.669063885	7.98186139
CYP2E1	1.842705228	1.75248479	1.921349871	1.967306696	2.003218967	1.910452989	1.818562855	1.626334964	1.807937221	1.65604353	1.797879962	1.893789387	1.661829482	1.83829441	1.818562855
EPHB3	4.149847646	3.735016346	4.175178713	4.205545624	4.242305324	4.272394557	4.377111301	4.018205998	3.934681599	3.941421047	3.930177049	4.622526207	4.381309458	4.53005068	4.665935923
ESRRA	4.641213709	4.381474224	4.59701242	4.454217757	4.642532625	4.8353626	4.619838239	4.755181204	4.376971822	4.679331931	4.781643284	4.664220974	4.194885132	4.79503037	5.088396007
CYP2A7	3.884474655	3.407876581	4.025279106	4.04104951	3.85378052	3.851743871	3.832990443	3.489092877	3.665658873	3.613015216	3.478964464	3.984077263	3.693864531	4.117511633	3.883819468
GAS6	5.961831531	5.775909286	5.862398073	6.094414842	6.11084647	6.547113367	6.009482616	5.793348554	6.63851728	5.941623668	5.878201995	6.014926512	6.033528917	6.422590512	6.182819868
MMP14	5.211659486	4.726882515	5.125111611	5.167767908	5.273023449	5.71119718	5.136033529	4.776070112	4.793775856	5.033883482	5.062120342	5.721250084	5.581186628	6.000613561	5.806475771
TRADD	5.821896332	5.855439823	5.812260029	5.88710677	5.631305393	5.570437723	5.654087532	5.935870105	5.915425265	5.543899539	6.158293994	5.7961573	5.858633543	5.885387633	5.897412767
PLD1	2.478244494	2.473256665	2.759346418	2.549232464	2.66300007	2.622998986	2.4865323	2.398505137	2.220569653	2.34683523	2.414151823	2.600758674	2.409339272	2.410881779	2.508648289
FNTB	2.886441894	3.139168134	3.202791171	2.689184648	2.747375797	2.64751171	2.941508166	3.273990547	2.795717857	2.844378474	3.037328821	2.871011143	3.092772918	2.974040712	3.242582521
DTX2P1	7.004317497	6.409773163	6.888987089	6.734012747	6.587956188	6.801717447	7.07794362	6.24972446	6.520878569	6.502403218	6.481536194	7.352277637	7.102206441	7.449922093	7.440578371
BAD	3.70728566	3.713094699	4.085243729	3.871198751	3.685775899	3.353967662	3.6835308	3.783260249	3.509627781	3.421582554	4.011568945	3.737045647	3.219231573	3.6835308	3.61206945
PRPF8	5.125085148	6.021400516	5.685796422	5.047194479	5.217872406	4.312327592	5.384687775	5.916209182	5.723330117	5.205536065	6.408412799	4.465332239	5.665800424	4.47641999	5.416124258
CAPNS1	7.856969681	8.264532077	8.158531879	7.263524001	8.053448847	7.310468459	7.760109224	8.648353147	8.047905548	8.000554019	8.208633925	7.284290762	7.561834142	6.873622235	7.677575049
RPL35	7.090785746	7.435064252	7.859194314	8.060859683	7.330780943	6.989056712	5.954750889	6.587448772	8.791460094	7.96642344	8.326512404	5.648365349	7.645677557	7.525620644	6.539140217
RPL28	10.62353903	11.13090042	11.36912044	10.86529347	10.70186611	11.1015779	9.876021855	10.46654974	11.0267866	10.99225775	11.60799181	10.28638987	11.13001807	11.29965772	11.36772558
